elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,959,1925,2217,2459,2685,2905,3125,1261,1303,1346,1391,1436,1483,1532,1581,1632,1685,1739,1794,1851,1910
1,1,Conifer Close,0,378,All,7302,11473,12367,13259,14174,15122,5244,5450,5663,5882,6108,6341,6581,6829,7085,7348,7619,11005,11469,11952,16417
2,2,Fladgate Drive,0,565,All,1767,3584,4126,4573,4988,5393,5796,2306,2383,2462,2543,2627,2714,2803,2894,2988,3085,3185,3287,3393,4878
3,4,Highfield Drive,0,71,All,941,1541,1739,1916,2090,2265,2445,912,949,987,1026,1066,1108,1150,1194,1239,1285,1333,1382,1432,1484
4,3,Matai Way,0,557,All,1414,2861,3299,3662,4002,4334,4666,1867,1930,1996,2063,2132,2204,2277,2353,2430,2510,2593,2677,2764,3976
5,5,Vintry Drive,0,362,All,3648,6242,6957,7581,8182,8782,3321,3444,3570,3701,3835,3973,4115,4262,4412,4568,4727,4892,5062,7295,7585
6,6,Croatia Avenue,0,42,All,625,835,1139,1846,2029,2215,2407,930,977,1025,1074,1125,1177,1231,1286,1343,1401,1462,1523,1587,1653
7,6,Croatia Avenue,42,76,All,625,1244,1417,1555,1679,1797,1912,2026,2141,2260,2382,2508,2640,2778,2922,3071,3228,3392,3563,3739,3922
8,7,Lumbarda Drive,0,152,All,583,650,718,789,862,938,1016,1098,1183,1271,1899,3673,4023,4377,4744,5127,5528,2029,2117,2207,3204
9,8,Tarras Road,0,86,All,1103,1630,1736,1847,1964,3753,4066,4379,1661,1736,1812,1891,1972,2056,2142,2231,2322,2416,2513,2613,2715
10,8,Tarras Road,86,120,All,1125,1193,1265,1339,1417,2087,2216,4231,4580,4927,5285,5657,6045,6456,2316,2405,2497,3610,2630,2728,2829
11,9,Kowhai Glen,0,305,All,703,1183,1338,1466,1584,1697,1808,1920,728,751,775,800,825,851,878,905,933,962,992,1425,1477
12,1037,Epiha Road Upper,0,415,All,2719,6471,7175,7802,2908,3021,3137,3257,3380,3508,3639,5258,5482,11015,3740,3883,4032,4184,4342,4504,6508
13,1038,Gossey Drive North,1319,1723,All,2313,5507,6106,6640,2474,2570,2669,2771,2876,2985,3096,4474,4665,9374,3182,3305,3431,3561,3695,3833,5538
14,10,Upper Ahu Ahu Road,0,46,All,1291,847,882,919,957,995,1035,1500,1576,1655,1737,1824,1918,2015,2116,1420,1472,1526,1581,1638,1696
15,10,Upper Ahu Ahu Road,46,68,All,1177,1255,2405,2613,2821,3036,3261,3499,3750,4014,4292,4585,1551,1613,1676,2425,4881,5125,1903,1974,2047
16,11,Lower Ahu Ahu Road,0,158,All,966,1304,2609,2915,3215,3520,3834,4161,1557,1638,1721,1807,1895,1985,2078,2174,2273,2374,2479,2586,2697
