elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,959,1925,2217,2459,2685,2905,3125,3348,3575,3812,4061,4320,4594,4885,5192,5515,5855,6214,6593,6991,7408
1,1,Conifer Close,0,378,All,7302,11473,12367,13259,14174,15122,16108,17159,18274,19453,20693,21994,23380,24874,26471,28166,29955,31840,33834,35936,38144
2,2,Fladgate Drive,0,565,All,1767,3584,4126,4573,4988,5393,5796,6204,6631,7077,7539,8019,8526,9062,9634,10240,10878,11546,12244,12973,13736
3,4,Highfield Drive,0,71,All,941,1541,1739,1916,2090,2265,2445,2630,2823,3027,3240,3463,3700,3953,4220,4503,4802,5117,5448,5796,6160
4,3,Matai Way,0,557,All,1414,2861,3299,3662,4002,4334,4666,5002,5350,5716,6097,6494,6914,7359,7828,8327,8855,9411,9995,10606,11245
5,5,Vintry Drive,0,362,All,3648,6242,6957,7581,8182,8782,9393,10022,10690,3807,3946,4089,4236,4387,4543,4704,4870,5040,5216,5396,5582
6,6,Croatia Avenue,0,42,All,625,835,1139,1846,2029,2215,2407,2606,2814,3034,3268,3515,3774,4047,4336,4643,4972,5323,5696,6090,6506
7,6,Croatia Avenue,42,76,All,625,1244,1417,1555,1679,1797,1912,2026,2141,2260,2382,2508,2640,2778,2922,3071,3228,3392,3563,3739,3922
8,7,Lumbarda Drive,0,152,All,583,650,718,789,862,938,1016,1098,1183,1271,1899,3673,4023,4377,4744,5127,5528,5948,6392,6863,7362
9,8,Tarras Road,0,86,All,1103,1630,1736,1847,1964,3753,4066,4379,4701,5036,5390,5764,6159,6574,7011,7470,7953,8473,9029,9621,10249
10,8,Tarras Road,86,120,All,1125,1193,1265,1339,1417,2087,2216,4231,4580,4927,5285,5657,6045,6456,6891,7351,7835,8343,8878,9446,10057
11,9,Kowhai Glen,0,305,All,703,1183,1338,1466,1584,1697,1808,1920,2032,2146,2262,2383,2509,2642,2781,2927,3077,3234,3395,3563,3736
12,1037,Epiha Road Upper,0,415,All,2719,6471,7175,7802,2908,3021,3137,3257,3380,3508,3639,5258,5482,11015,11563,12138,12738,13364,14016,14707,4503
13,1038,Gossey Drive North,1319,1723,All,2313,5507,6106,6640,2474,2570,2669,2771,2876,2985,3096,4474,4665,9374,9841,10331,10842,11375,11931,3716,3856
14,10,Upper Ahu Ahu Road,0,46,All,1291,847,882,919,957,995,1035,1500,1576,1655,1737,1824,1918,2015,2116,2225,3083,3245,4991,5270,5560
15,10,Upper Ahu Ahu Road,46,68,All,1177,1255,2405,2613,2821,3036,3261,3499,3750,4014,4292,4585,4893,5219,5570,5945,6344,6766,7212,7683,8180
16,11,Lower Ahu Ahu Road,0,158,All,966,1304,2609,2915,3215,3520,3834,4161,4509,4877,5266,5676,6107,6558,7042,7562,8116,8705,9328,9985,10677
17,11,Lower Ahu Ahu Road,158,179,All,954,1025,1099,1176,1255,1339,1426,1516,1610,1708,1811,4805,5216,5629,6055,6501,6966,7454,7966,8510,9087
