elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,26101.6,29358.4,17249.1,17294.4,17340.8,17388.6,17437.8,17488.6,17541.2,17595.8,17653,17713.6,17857.5,17943,18041.3,18158.4,0,0,0,0,0
1,1,Conifer Close,0,378,All,51238.7,55609.3,60674.8,50311.8,50847,51400.4,51972.6,52564.4,53176.3,53809.4,54464.8,55322.3,56066.6,56849,57675.6,59409,0,0,0,0,0
2,2,Fladgate Drive,0,565,All,87669.6,93793.3,44357.7,44485.3,44616.4,44751.3,44890.2,45033.5,45181.6,45335.6,45496.5,45866.6,46090.5,46340.5,46626.4,47911,0,0,0,0,0
3,4,Highfield Drive,0,71,All,7640.2,8648,4921,4929.5,4938.2,4947.3,4956.7,4966.5,4976.8,4987.5,4999,5034.8,5052.5,5072.9,5097.2,5155,0,0,0,0,0
4,3,Matai Way,0,557,All,89369.6,99699.2,52836.9,52974.7,53116.5,53262.5,53413.1,53568.6,53729.8,53897.5,54073.5,54501.8,54745.8,55019.8,55335.3,55998.6,0,0,0,0,0
5,5,Vintry Drive,0,362,All,54826.3,63381.7,40319.6,40556.5,40800.3,41051.3,41309.6,41575.7,41850.2,42133.8,42427.6,42897.4,43251.4,43631.6,44045.9,45282.5,0,0,0,0,0
6,6,Croatia Avenue,0,42,All,3468,3542.4,3744.1,4146.9,4602.4,3448.5,3462,3476.1,3491,3506.6,3523.1,3540.5,3558.8,3578.3,3615,3640,0,0,0,0,0
7,6,Croatia Avenue,42,76,All,6093,6308.7,6494,6686.4,6930.7,7284.7,2762,2765.6,2769.3,2773,2776.7,2780.6,2784.5,2788.5,2792.5,2796.7,0,0,0,0,0
8,7,Lumbarda Drive,0,152,All,18288,18412.5,18544.9,18765.3,18929.8,19107.3,19298.9,19506.3,19731.7,19986,20571.8,22861.9,24801.5,20392,20497.3,20606,0,0,0,0,0
9,8,Tarras Road,0,86,All,8956.1,9155.8,9292,9470.1,9775.6,10707.6,11927.3,13592.1,9389.1,9459.7,9534.2,9612.8,9695.8,9783.3,9875.7,9973.4,0,0,0,0,0
10,8,Tarras Road,86,120,All,3635.3,3664.7,3696.6,3731.1,3768.7,3857.1,3914.7,4316.6,4667.2,3891.8,3910,3928.7,3948,3967.8,3988.2,4009.2,0,0,0,0,0
11,9,Kowhai Glen,0,305,All,42087.7,47450.2,53164.6,58966.5,27375.9,27401.7,27428.1,27455.2,27483.1,27512,27542.2,27700.5,27763.6,27837.9,27926,28032.4,0,0,0,0,0
12,1037,Epiha Road Upper,0,415,All,32510.5,37701.3,43503.7,51917.7,27753.9,28829,29946.9,31114.5,32342.8,33901.7,35371.8,38134.1,40224.4,120986.4,30725.8,31891,0,0,0,0,0
13,1038,Gossey Drive North,1319,1723,All,29298.7,33853.2,39728.8,47615.3,24590.2,25559.1,26567.6,27622.2,28733.5,30164.4,31506.7,34104.9,36047.5,114594.4,26701.9,27737.3,0,0,0,0,0
14,10,Upper Ahu Ahu Road,0,46,All,5694.8,3705.7,3713.4,3721.3,3729.5,3738,3746.8,3799.8,3823,3851.4,3915.5,3974,4068,4218.1,4543.6,3825.2,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,1845,1898.2,2071.2,2295.2,2597.2,1801.7,1806.7,1811.9,1817.3,1822.9,1828.6,1834.6,1840.9,1847.3,1862,1870.7,0,0,0,0,0
16,11,Lower Ahu Ahu Road,0,158,All,13106.7,13464,14494.5,15859.8,12963.3,13018,13075.8,13136.8,13201.4,13269.6,13342,13418.9,13500.9,13648.4,13755.3,13873.6,0,0,0,0,0
17,11,Lower Ahu Ahu Road,158,179,All,1694.1,1702.2,1710.8,1719.9,1729.6,1747.7,1760.7,1775,1790.5,1807.9,1828.2,2058.3,2238.7,1834.1,1844.6,1855.5,0,0,0,0,0
18,12,Kriletich Drive,0,263,All,37913.6,42173.3,46330.7,22821,22887.5,22955.9,23026.1,23098.4,23172.9,23348.1,23468,23603,24114.7,24462.9,24956.5,25771.9,0,0,0,0,0
19,917,Port Street East,0,21,All,2090,2349.3,2596.4,2825.3,3046.1,3283.5,1253.5,1265.8,1278.4,1291.1,1304.2,1317.4,1331,1344.8,1359,1373.6,0,0,0,0,0
20,917,Port Street East,21,396,All,31304.8,33444.2,36333.3,40164.5,45005.2,50669.1,56794.8,62906.8,68033.4,72330.4,76143.7,81611.9,86565.1,55937.1,57425.8,58852.7,0,0,0,0,0
21,917,Port Street East,396,874,All,49097.9,55789.3,25600.7,25770.5,25944.6,26122.9,26305.9,26493.7,26686.9,26886,27092.2,27307.1,27533.4,27775.5,28199.5,28520.3,0,0,0,0,0
22,917,Port Street East,874,1340,All,38940.4,45251.2,20419.5,20547.9,20679.2,20813.7,20951.3,21092.5,21237.4,21386.7,21541.1,21702,21871.4,22052.9,22377.7,22620.7,0,0,0,0,0
23,917,Port Street East,1340,1431,All,10901.4,12147.1,5861.2,5912.7,5965,6018.1,6072,6126.8,6182.4,6239.1,6297,6356.3,6417.5,6481.2,6575,6651.6,0,0,0,0,0
