elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,26101.6,29358.4,32809.8,36275.8,39780.9,43625.9,48327.4,17618.2,17674,17731.3,17790.2,17850.9,17913.4,17978.1,18045.1,18115,18188.7,18346,18446.2,18559.8,18692.6
1,1,Conifer Close,0,378,All,51238.7,55609.3,60674.8,67456.9,77553.6,92282.2,51934.2,52531.7,53149.3,53787.5,54447,55128.6,55833,56561.3,57493.6,58316.2,59178.9,60913.8,62037,63310.2,118418.2
2,2,Fladgate Drive,0,565,All,87669.6,93793.3,99033.3,103977.8,109534.6,117095.2,128220,45395.5,45553.7,45716.4,45883.6,46055.8,46233.3,46416.6,46606.7,47004.7,47249.5,47516.1,47810.8,48382.9,49539.9
3,4,Highfield Drive,0,71,All,7640.2,8648,9751,10929.8,12243.8,13835.4,15824.8,4983.2,4993.6,5004.5,5015.7,5027.3,5039.3,5051.9,5065,5078.9,5117.3,5137.8,5161.2,5188.6,5249.8
4,3,Matai Way,0,557,All,89369.6,99699.2,109878.7,119961.8,130827.7,144179.4,161619.4,53898.4,54067.8,54242.2,54421.7,54606.6,54797.5,54995,55200,55414.3,55882.1,56169.8,56489.3,56852,58412.7
5,5,Vintry Drive,0,362,All,54826.3,63381.7,72936.8,84431.6,98018.1,113865.9,42125.2,42415.3,42713.5,43020.1,43335.3,43659.5,43993.3,44337.5,44693.2,45226.2,45647.1,46095.8,46773,47925.4,48702.2
6,6,Croatia Avenue,0,42,All,3468,3542.4,3744.1,4146.9,4602.4,5284.5,6284.6,3487.4,3502.6,3518.6,3535.4,3553,3571.6,3591.1,3611.7,3633.6,3672.8,3700.4,3730.8,3764.8,3822.3
7,6,Croatia Avenue,42,76,All,6093,6308.7,6494,6686.4,6930.7,7284.7,7828.9,8621.1,9614.8,10618.8,11400,11866.9,12097.9,12189.7,12221.6,12234.2,12242,12249,12255.9,12263,12270.3
8,7,Lumbarda Drive,0,152,All,18288,18412.5,18544.9,18765.3,18929.8,19107.3,19298.9,19506.3,19731.7,19986,20571.8,22861.9,24801.5,27688.9,32098.2,38246.7,45477.8,21742.9,22128.3,22672.7,24218.1
9,8,Tarras Road,0,86,All,8956.1,9155.8,9292,9470.1,9775.6,10707.6,11927.3,13592.1,9389.1,9459.7,9534.2,9612.8,9695.8,9783.3,9875.7,9973.4,10076.8,10227.1,10351,10484.8,10630.7
10,8,Tarras Road,86,120,All,3635.3,3664.7,3696.6,3731.1,3768.7,3857.1,3914.7,4316.6,4667.2,5200.6,6036,7242.1,8696.8,10080.1,4168.9,4241.2,4352.1,4779.1,4189.4,4215,4256.9
11,9,Kowhai Glen,0,305,All,42087.7,47450.2,53164.6,58966.5,64962.9,71723.4,80018.5,90102.9,27495,27523.5,27552.6,27582.5,27613.3,27645.2,27678.4,27839.8,27908.8,27989.7,28085.2,28622.6,28876.6
12,1037,Epiha Road Upper,0,415,All,32510.5,37701.3,43503.7,51917.7,27753.9,28829,29946.9,31114.5,32342.8,33901.7,35371.8,38134.1,40224.4,120986.4,30725.8,31891,33100.2,34360.2,35681.9,37335.1,40009.6
13,1038,Gossey Drive North,1319,1723,All,29298.7,33853.2,39728.8,47615.3,24590.2,25559.1,26567.6,27622.2,28733.5,30164.4,31506.7,34104.9,36047.5,114594.4,26701.9,27737.3,28813.1,29935.7,31115.7,32615.8,35108
14,10,Upper Ahu Ahu Road,0,46,All,5694.8,3705.7,3713.4,3721.3,3729.5,3738,3746.8,3799.8,3823,3851.4,3915.5,3974,4068,4218.1,4543.6,3825.2,3836.5,3848,3859.9,3872.2,3884.9
15,10,Upper Ahu Ahu Road,46,68,All,1845,1898.2,2071.2,2295.2,2597.2,3047.2,3697.6,4547.2,5487.9,6336.6,6976.7,7390.9,1898.7,1923.1,1966.4,2045.7,4748.9,5140.9,1910,1918.5,1927.4
16,11,Lower Ahu Ahu Road,0,158,All,13106.7,13464,14494.5,15859.8,17718.8,20563.3,24774.9,30518.8,13293.1,13364.3,13439.4,13518.6,13602.3,13690.7,13784.2,13883.2,13988.4,14160.3,14293.3,14439.1,14670.5
17,11,Lower Ahu Ahu Road,158,179,All,1694.1,1702.2,1710.8,1719.9,1729.6,1747.7,1760.7,1775,1790.5,1807.9,1828.2,2058.3,2238.7,2526.9,2990.6,3642,4352.6,4918.1,5242.9,5392.4,5460.7
18,12,Kriletich Drive,0,263,All,37913.6,42173.3,46330.7,50390.2,54715.1,59970.8,66897.2,75612.3,23233.4,23312,23392.7,23475.6,23560.9,23747,23872.5,24013.1,24171,24747.7,25181.2,25829.5,26984.5
