elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,1.87,2,2,2.05,2.11,2.17,2.23,2.3,2.36,2.43,2.5,2.57,2.65,2.72,2.8,2.88,0,0,0,0,0
1,1,Conifer Close,0,378,All,15.24,16.11,17.02,15.82,16.28,16.75,17.24,17.73,18.24,18.75,19.28,19.82,20.37,20.94,21.51,22.09,0,0,0,0,0
2,2,Fladgate Drive,0,565,All,2.42,2.57,2.57,2.65,2.73,2.82,2.9,2.99,3.08,3.18,3.28,3.38,3.48,3.58,3.69,3.8,0,0,0,0,0
3,4,Highfield Drive,0,71,All,0.78,0.84,0.84,0.86,0.89,0.91,0.94,0.96,0.99,1.02,1.05,1.08,1.11,1.14,1.17,1.21,0,0,0,0,0
4,3,Matai Way,0,557,All,1.57,1.68,1.68,1.73,1.78,1.84,1.89,1.95,2.01,2.07,2.13,2.19,2.26,2.32,2.39,2.47,0,0,0,0,0
5,5,Vintry Drive,0,362,All,8.5,9.03,9.03,9.29,9.55,9.82,10.1,10.39,10.68,10.98,11.28,11.6,11.92,12.25,12.59,12.93,0,0,0,0,0
6,6,Croatia Avenue,0,42,All,1.87,2,2.13,2.27,2.42,2.42,2.49,2.56,2.64,2.71,2.79,2.87,2.95,3.03,3.12,3.21,0,0,0,0,0
7,6,Croatia Avenue,42,76,All,1.87,1.93,2,2.07,2.14,2.21,2.21,2.25,2.3,2.34,2.39,2.44,2.49,2.54,2.59,2.64,0,0,0,0,0
8,7,Lumbarda Drive,0,152,All,4.98,5.31,5.65,6.01,6.39,6.8,7.23,7.68,8.17,8.67,9.21,9.78,10.38,10.38,10.57,10.77,0,0,0,0,0
9,8,Tarras Road,0,86,All,2.04,2.18,2.32,2.47,2.64,2.81,3,3.2,3.2,3.3,3.4,3.5,3.61,3.72,3.84,3.95,0,0,0,0,0
10,8,Tarras Road,86,120,All,5.42,5.76,6.13,6.53,6.94,7.38,7.84,8.33,8.85,8.85,9.02,9.2,9.38,9.56,9.74,9.93,0,0,0,0,0
11,9,Kowhai Glen,0,305,All,0.55,0.57,0.6,0.62,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.83,0.85,0,0,0,0,0
12,1037,Epiha Road Upper,0,415,All,4.98,5.31,5.65,6.01,6.01,6.21,6.41,6.63,6.85,7.07,7.3,7.54,7.79,8.04,8.04,8.3,0,0,0,0,0
13,1038,Gossey Drive North,1319,1723,All,2.75,2.94,3.13,3.34,3.34,3.45,3.57,3.69,3.82,3.95,4.08,4.22,4.36,4.51,4.51,4.66,0,0,0,0,0
14,10,Upper Ahu Ahu Road,0,46,All,1.87,1.87,1.92,1.98,2.03,2.09,2.15,2.21,2.27,2.33,2.4,2.47,2.54,2.61,2.68,2.68,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,1.87,2,2.13,2.27,2.42,2.42,2.47,2.52,2.57,2.63,2.68,2.73,2.79,2.85,2.91,2.96,0,0,0,0,0
16,11,Lower Ahu Ahu Road,0,158,All,2.04,2.18,2.32,2.47,2.47,2.55,2.62,2.7,2.78,2.86,2.95,3.03,3.12,3.21,3.31,3.41,0,0,0,0,0
17,11,Lower Ahu Ahu Road,158,179,All,1.95,2.08,2.22,2.37,2.53,2.7,2.87,3.06,3.27,3.48,3.71,3.95,4.21,4.21,4.31,4.4,0,0,0,0,0
18,12,Kriletich Drive,0,263,All,4.39,4.55,4.72,4.72,4.86,5.01,5.16,5.32,5.48,5.64,5.81,5.98,6.16,6.35,6.53,6.73,0,0,0,0,0
19,917,Port Street East,0,21,All,17.65,18.63,19.65,20.72,21.82,22.97,18.47,18.84,19.23,19.62,20.01,20.41,20.82,21.23,21.65,22.08,0,0,0,0,0
20,917,Port Street East,21,396,All,36.08,37.61,39.17,40.76,42.36,43.98,45.61,47.25,48.9,50.55,52.2,53.84,55.48,31.65,32.41,33.18,0,0,0,0,0
21,917,Port Street East,396,874,All,4.78,5.09,5.09,5.21,5.33,5.45,5.58,5.71,5.84,5.98,6.11,6.26,6.4,6.55,6.7,6.85,0,0,0,0,0
22,917,Port Street East,874,1340,All,7.53,8,8,8.17,8.35,8.53,8.71,8.9,9.09,9.28,9.48,9.68,9.88,10.09,10.31,10.52,0,0,0,0,0
