elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,9.55,12.35,15.31,18.29,21.3,24.6,28.63,2.27,2.32,2.37,2.42,2.47,2.52,2.58,2.63,2.69,2.76,2.89,2.98,3.08,3.19
1,1,Conifer Close,0,378,All,6.51,8.16,10.07,12.64,16.45,22.02,6.77,7,7.23,7.47,7.72,7.98,8.24,8.52,8.87,9.18,9.51,10.16,10.59,11.07,31.9
2,2,Fladgate Drive,0,565,All,16.7,18.76,20.53,22.19,24.07,26.61,30.36,2.45,2.5,2.55,2.61,2.67,2.73,2.79,2.85,2.99,3.07,3.16,3.26,3.45,3.84
3,4,Highfield Drive,0,71,All,9.1,12,15.17,18.56,22.34,26.91,32.63,1.47,1.5,1.53,1.56,1.59,1.63,1.66,1.7,1.74,1.85,1.91,1.98,2.06,2.23
4,3,Matai Way,0,557,All,12.06,14.94,17.78,20.59,23.62,27.34,32.2,2.17,2.22,2.27,2.32,2.37,2.42,2.48,2.53,2.59,2.72,2.8,2.89,2.99,3.43
5,5,Vintry Drive,0,362,All,9.68,13.2,17.13,21.85,27.44,33.95,4.46,4.58,4.7,4.83,4.96,5.09,5.23,5.37,5.52,5.74,5.91,6.09,6.37,6.84,7.16
6,6,Croatia Avenue,0,42,All,1.89,2.2,3.06,4.77,6.71,9.61,13.86,1.97,2.03,2.1,2.17,2.25,2.33,2.41,2.5,2.59,2.76,2.88,3.01,3.15,3.39
7,6,Croatia Avenue,42,76,All,19.14,20.28,21.25,22.26,23.54,25.4,28.26,32.42,37.64,42.91,47.02,49.47,50.68,51.16,51.33,51.4,51.44,51.48,51.51,51.55,51.59
8,7,Lumbarda Drive,0,152,All,2.09,2.19,2.3,2.48,2.61,2.76,2.92,3.08,3.27,3.48,3.96,5.83,7.41,9.77,13.38,18.4,24.31,4.91,5.23,5.67,6.94
9,8,Tarras Road,0,86,All,2.02,2.35,2.58,2.87,3.38,4.93,6.96,9.72,2.74,2.86,2.98,3.11,3.25,3.39,3.55,3.71,3.88,4.13,4.34,4.56,4.8
