elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
0,1013,Brook Street North,0,220,All,9.55,12.35,15.31,2.01,2.05,2.09,2.13,2.18,2.22,2.27,2.32,2.37,2.42,2.55,2.63,2.71,2.82,3.02,22.16,2.74,2.8,2.86,2.92,2.99,3.05,3.12,3.19,3.27,3.41,3.51,3.61
1,1,Conifer Close,0,378,All,6.51,8.16,10.07,6.16,6.36,6.57,6.78,7.01,7.24,7.48,7.73,8.05,8.33,8.63,8.94,9.6,10.03,30.46,8.5,8.8,9.1,9.41,9.73,10.05,10.39,10.81,11.19,11.58,12.2,12.78,13.32
2,2,Fladgate Drive,0,565,All,16.7,18.76,20.53,2.16,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.56,2.69,2.76,2.85,2.95,3.39,3.59,23.58,2.97,3.04,3.11,3.18,3.25,3.32,3.4,3.48,3.63,3.73,3.84,3.95
3,4,Highfield Drive,0,71,All,9.1,12,15.17,1.32,1.35,1.37,1.4,1.43,1.46,1.49,1.52,1.55,1.66,1.71,1.77,1.84,2.01,2.38,21.79,1.8,1.84,1.88,1.92,1.97,2.01,2.06,2.11,2.16,2.29,2.36,2.45
4,3,Matai Way,0,557,All,12.06,14.94,17.78,1.93,1.97,2.01,2.05,2.09,2.14,2.19,2.24,2.29,2.41,2.48,2.56,2.65,2.83,3.22,22.73,2.66,2.72,2.78,2.84,2.91,2.97,3.04,3.12,3.26,3.35,3.45,3.56
5,5,Vintry Drive,0,362,All,9.68,13.2,3.72,3.82,3.92,4.02,4.13,4.23,4.35,4.46,4.58,4.78,4.92,5.08,5.25,5.76,6.04,26.03,5.5,5.65,5.8,5.95,6.11,6.27,6.44,6.61,6.85,7.05,7.26,7.56,8.06
6,6,Croatia Avenue,0,42,All,1.89,2.2,3.06,4.77,6.71,1.8,1.86,1.92,1.99,2.05,2.12,2.2,2.27,2.36,2.51,2.62,2.74,2.87,3.02,3.52,22.86,3.03,3.15,3.27,3.4,3.54,3.68,3.83,3.98,4.15,4.39
7,6,Croatia Avenue,42,76,All,19.14,20.28,21.25,22.26,23.54,25.4,1.65,1.67,1.69,1.71,1.73,1.75,1.77,1.79,1.81,1.83,1.92,1.96,2,2.05,2.1,2.17,2.51,2.69,2.92,3.27,27.43,2.09,2.12,2.15,2.17
8,7,Lumbarda Drive,0,152,All,2.09,2.19,2.3,2.48,2.61,2.76,2.92,3.08,3.27,3.48,3.96,5.83,7.41,3.81,3.89,3.98,4.08,4.17,4.27,4.37,4.47,4.58,4.7,4.88,5.01,5.15,5.31,5.47,5.65,6.09,6.38
9,8,Tarras Road,0,86,All,2.02,2.35,2.58,2.87,3.38,4.93,6.96,9.72,2.74,2.86,2.98,3.11,3.25,3.39,3.55,3.71,3.88,4.13,4.34,4.56,4.8,5.15,5.71,25.34,5.32,5.57,5.83,6.11,6.39,6.69,6.99
10,8,Tarras Road,86,120,All,2.42,2.54,2.67,2.82,2.98,3.35,3.59,5.28,6.75,3.14,3.23,3.31,3.4,3.5,3.6,3.7,3.8,3.91,4.02,4.14,4.25,4.38,4.51,4.64,4.78,4.92,5.14,5.31,5.49,25.24,3.14
11,9,Kowhai Glen,0,305,All,8.82,11.58,14.52,17.51,1.24,1.25,1.27,1.28,1.3,1.31,1.33,1.41,1.44,1.48,1.52,1.58,1.88,2.04,2.26,2.58,3.27,4.1,1.51,1.52,1.54,1.56,1.58,1.6,1.63,1.71,1.83
12,1037,Epiha Road Upper,0,415,All,8.7,10.09,11.65,13.9,7.43,7.72,8.02,8.33,8.66,9.08,9.47,10.21,10.77,32.39,8.23,8.54,8.86,9.2,9.55,10,10.71,11.24,31,8.83,9.16,9.5,9.86,10.3,10.71,11.46,12.02
13,1038,Gossey Drive North,1319,1723,All,8.06,9.31,10.93,13.1,6.76,7.03,7.31,7.6,7.9,8.3,8.67,9.38,9.91,31.52,7.34,7.63,7.92,8.23,8.56,8.97,9.66,10.15,29.89,7.71,8.01,8.32,8.64,9.04,9.42,10.13,10.66
