elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,9.55,12.35,15.31,18.29,21.3,24.6,28.63,33.68,39.36,44.56,48.33,50.52,51.63,52.13,52.36,52.51
1,1,Conifer Close,0,378,All,6.51,8.16,10.07,12.64,16.45,22.02,29.4,37.84,45.65,51.24,54.7,56.85,58.29,59.36,60.22,60.95
2,2,Fladgate Drive,0,565,All,16.7,18.76,20.53,22.19,24.07,26.61,30.36,35.53,41.52,46.8,50.09,51.62,52.25,52.51,52.66,52.78
3,4,Highfield Drive,0,71,All,9.1,12,15.17,18.56,22.34,26.91,32.63,38.95,44.46,48.08,49.94,50.73,51.05,51.2,51.29,51.36
4,3,Matai Way,0,557,All,12.06,14.94,17.78,20.59,23.62,27.34,32.2,38.02,43.68,47.96,50.37,51.46,51.92,52.13,52.25,52.36
5,5,Vintry Drive,0,362,All,9.68,13.2,17.13,21.85,27.44,33.95,40.84,46.8,50.99,53.3,54.43,55.05,55.46,55.81,56.14,56.47
6,6,Croatia Avenue,0,42,All,1.89,2.2,3.06,4.77,6.71,9.61,13.86,19.7,26.87,34.44,41.05,45.78,48.67,50.32,51.27,51.86
7,6,Croatia Avenue,42,76,All,19.14,20.28,21.25,22.26,23.54,25.4,28.26,32.42,37.64,42.91,47.02,49.47,50.68,51.16,51.33,51.4
8,7,Lumbarda Drive,0,152,All,2.09,2.19,2.3,2.48,2.61,2.76,2.92,3.08,3.27,3.48,3.96,5.83,7.41,9.77,13.38,18.4
9,8,Tarras Road,0,86,All,2.02,2.35,2.58,2.87,3.38,4.93,6.96,9.72,13.87,19.69,27.14,35.02,41.65,46.28,49.23,51.09
10,8,Tarras Road,86,120,All,2.42,2.54,2.67,2.82,2.98,3.35,3.59,5.28,6.75,8.99,12.5,17.57,23.68,29.5,33.92,37.07
11,9,Kowhai Glen,0,305,All,8.82,11.58,14.52,17.51,20.6,24.08,28.35,33.54,39.09,43.9,47.25,49.18,50.19,50.63,50.81,50.88
12,1037,Epiha Road Upper,0,415,All,8.7,10.09,11.65,13.9,17.21,22.06,28.77,37,45.48,52.23,56.57,59.14,60.75,61.87,62.74,63.47
13,1038,Gossey Drive North,1319,1723,All,8.06,9.31,10.93,13.1,16.3,21.02,27.6,35.77,44.3,51.15,55.51,58.06,59.62,60.68,61.49,62.15
14,10,Upper Ahu Ahu Road,0,46,All,9.25,1.53,1.56,1.59,1.62,1.65,1.69,1.89,1.98,2.09,2.34,2.57,2.93,3.52,4.78,6.93
