elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,9.55,12.35,15.31,18.29,21.3,24.6,28.63,33.68,39.36,44.56,48.33,50.52,51.63,52.13,52.36,52.51,52.63,52.76,52.88,53.01,53.15
1,1,Conifer Close,0,378,All,6.51,8.16,10.07,12.64,16.45,22.02,29.4,37.84,45.65,51.24,54.7,56.85,58.29,59.36,60.22,60.95,61.61,62.23,62.83,63.43,64.02
2,2,Fladgate Drive,0,565,All,16.7,18.76,20.53,22.19,24.07,26.61,30.36,35.53,41.52,46.8,50.09,51.62,52.25,52.51,52.66,52.78,52.9,53.03,53.17,53.31,53.46
3,4,Highfield Drive,0,71,All,9.1,12,15.17,18.56,22.34,26.91,32.63,38.95,44.46,48.08,49.94,50.73,51.05,51.2,51.29,51.36,51.43,51.5,51.57,51.65,51.73
4,3,Matai Way,0,557,All,12.06,14.94,17.78,20.59,23.62,27.34,32.2,38.02,43.68,47.96,50.37,51.46,51.92,52.13,52.25,52.36,52.47,52.58,52.7,52.82,52.95
5,5,Vintry Drive,0,362,All,9.68,13.2,17.13,21.85,27.44,33.95,40.84,46.8,50.99,5.12,5.26,5.4,5.54,5.69,5.85,6,6.17,6.4,6.59,6.79,6.99
6,6,Croatia Avenue,0,42,All,1.89,2.2,3.06,4.77,6.71,9.61,13.86,19.7,26.87,34.44,41.05,45.78,48.67,50.32,51.27,51.86,52.26,52.57,52.82,53.06,53.28
7,6,Croatia Avenue,42,76,All,19.14,20.28,21.25,22.26,23.54,25.4,28.26,32.42,37.64,42.91,47.02,49.47,50.68,51.16,51.33,51.4,51.44,51.48,51.51,51.55,51.59
8,7,Lumbarda Drive,0,152,All,2.09,2.19,2.3,2.48,2.61,2.76,2.92,3.08,3.27,3.48,3.96,5.83,7.41,9.77,13.38,18.4,24.31,29.87,34.22,37.48,40.24
9,8,Tarras Road,0,86,All,2.02,2.35,2.58,2.87,3.38,4.93,6.96,9.72,13.87,19.69,27.14,35.02,41.65,46.28,49.23,51.09,52.31,53.16,53.79,54.29,54.72
10,8,Tarras Road,86,120,All,2.42,2.54,2.67,2.82,2.98,3.35,3.59,5.28,6.75,8.99,12.5,17.57,23.68,29.5,33.92,37.07,39.68,42.31,45.09,47.82,50.29
11,9,Kowhai Glen,0,305,All,8.82,11.58,14.52,17.51,20.6,24.08,28.35,33.54,39.09,43.9,47.25,49.18,50.19,50.63,50.81,50.88,50.91,50.94,50.96,50.99,51.01
12,1037,Epiha Road Upper,0,415,All,8.7,10.09,11.65,13.9,7.43,7.72,8.02,8.33,8.66,9.08,9.47,10.21,10.77,32.39,36.33,39.25,41.8,44.19,46.7,49.45,9.4
13,1038,Gossey Drive North,1319,1723,All,8.06,9.31,10.93,13.1,6.76,7.03,7.31,7.6,7.9,8.3,8.67,9.38,9.91,31.52,35.43,38.32,40.84,43.2,45.68,8.17,8.47
14,10,Upper Ahu Ahu Road,0,46,All,9.25,1.53,1.56,1.59,1.62,1.65,1.69,1.89,1.98,2.09,2.34,2.57,2.93,3.52,4.78,6.93,30.6,31.62,32.18,32.63,33.25
15,10,Upper Ahu Ahu Road,46,68,All,2.12,2.55,3.95,5.77,8.22,11.88,17.16,24.05,31.69,38.58,43.77,47.13,49.16,50.38,51.14,51.64,51.99,52.26,52.49,52.69,52.87
16,11,Lower Ahu Ahu Road,0,158,All,1.96,2.36,3.52,5.07,7.17,10.38,15.14,21.64,29.41,37.2,43.31,47.2,49.45,50.76,51.58,52.13,52.53,52.86,53.15,53.41,53.67
17,11,Lower Ahu Ahu Road,158,179,All,1.55,1.62,1.69,1.77,1.85,2,2.12,2.24,2.37,2.52,2.69,4.65,6.18,8.63,12.57,18.11,24.15,28.96,31.73,33,33.58
18,12,Kriletich Drive,0,263,All,12.25,15.07,17.83,20.52,23.38,26.86,31.45,37.22,43.11,47.64,50.27,51.53,52.08,52.31,52.43,52.51,52.59,52.67,52.76,52.84,52.93
19,917,Port Street East,0,21,All,16.47,19.44,22.28,24.9,27.43,30.15,33.45,37.63,42.75,48.25,53.08,56.53,58.72,60.01,60.79,61.34,61.82,62.28,62.74,63.21,63.68
20,917,Port Street East,21,396,All,11.08,12.35,14.07,16.34,19.21,22.57,26.21,29.84,32.88,35.43,37.69,40.94,43.88,47.57,52.41,58.57,65.88,73.44,80.04,84.95,88.21
21,917,Port Street East,396,874,All,13.32,16.16,18.87,21.39,23.85,26.56,29.89,34.12,39.17,44.38,48.73,51.67,53.41,54.35,54.86,55.18,55.44,55.69,55.96,56.22,56.51
22,917,Port Street East,874,1340,All,13.39,16.78,20,23.43,27.37,32.21,37.88,43.71,48.8,52.1,53.77,54.54,54.95,55.26,55.54,55.83,56.12,56.42,56.73,57.05,57.38
