elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,0.94,1.94,3.05,4.26,5.57,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Conifer Close,0,378,All,0.4,3.45,4.51,5.68,6.99,8.46,0,0,0,0,0,0,0,0,0,0,0,1.2,1.34,1.51,11.7
2,2,Fladgate Drive,0,565,All,0,0.98,2.04,3.22,4.5,5.93,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.22
3,4,Highfield Drive,0,71,All,1.6,2.68,3.87,5.23,6.73,8.4,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
4,3,Matai Way,0,557,All,0,0.97,2.01,3.16,4.43,5.81,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
5,5,Vintry Drive,0,362,All,0.5,2.42,3.51,4.71,6.04,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.22,1.36
6,6,Croatia Avenue,0,42,All,0,0.14,1.3,3.21,4.28,5.44,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
7,6,Croatia Avenue,42,76,All,0,0.94,1.96,3.08,4.3,5.62,7.07,8.65,10.35,12.21,14.27,16.55,19.21,22.33,25.91,29.99,34.65,39.9,45.73,52.02,58.73
8,7,Lumbarda Drive,0,152,All,0,0,0,0.2,0.23,0.28,0.32,0.38,0.44,0.52,1.63,3.87,4.96,6.14,7.47,8.97,10.62,0,0.2,0.48,2.33
9,8,Tarras Road,0,86,All,0,1.04,1.19,1.36,1.55,3.77,4.85,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,0.04,0.08,0.13,0.19,1.26,1.48,3.75,4.87,6.09,7.47,9.02,10.75,12.7,0,0.2,0.56,2.93,0,0,0.2
11,9,Kowhai Glen,0,305,All,0.26,1.3,2.43,3.67,5.02,6.48,8.05,9.73,0,0,0,0,0,0,0,0.2,0.25,0.3,0.37,1.44,1.68
12,1037,Epiha Road Upper,0,415,All,0,2.18,3.21,4.35,0,0,0,0,0,0,0,1.2,1.34,12.51,0,0,0,0,0,0,1.2
13,1038,Gossey Drive North,1319,1723,All,0,2.18,3.21,4.35,0,0,0,0,0,0,0,1.2,1.34,12.51,0,0,0,0,0,0,1.2
14,10,Upper Ahu Ahu Road,0,46,All,8.9,0,0,0,0,0,0,1,1.26,1.59,1.98,2.51,3.28,4.3,5.77,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,1.3,1.48,3.69,4.73,5.88,7.14,8.56,10.16,11.94,13.89,16.07,18.48,0,0,0.2,1.26,12.47,13.53,0,0,0
16,11,Lower Ahu Ahu Road,0,158,All,0,0.16,2.35,3.38,4.49,5.73,7.12,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0.2
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0.2,0.25,0.31,0.38,0.46,0.59,3.75,4.89,6.16,7.62,9.29,11.16,13.26,15.61,18.27,21.24
18,12,Kriletich Drive,0,263,All,0.22,1.24,2.36,3.59,4.94,6.41,8.04,9.87,0,0,0,0,0,0.2,0.27,0.35,0.45,1.63,2.07,2.65,3.44
19,917,Port Street East,0,21,All,0,0.91,1.89,2.97,4.14,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,917,Port Street East,21,396,All,0,0,0,0,0,0,0.2,1.23,1.36,1.51,1.68,3.87,4.89,0,0,0,0,0,0,0,0
21,917,Port Street East,396,874,All,0,0.91,1.89,2.97,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.09
22,917,Port Street East,874,1340,All,0.2,2.32,3.63,5.04,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.09
23,917,Port Street East,1340,1431,All,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.3,0,0
24,917,Port Street East,1431,2115,All,0,2.12,3.04,4.03,5.12,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,917,Port Street East,2120,2350,All,0,2.12,3.04,4.03,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,13,Puriri Dale Way,0,293,All,0,1.05,2.2,3.48,4.94,6.59,8.47,0,0,0,0,0,0,0,0,0,0,0,1.2,1.38,1.59
27,15,Fendall Close,0,438,All,0.32,2.2,3.34,4.62,6.05,0,0,0,0,0,0,0,1.2,11.37,0,0,0,0,0,0,1.2
28,15,Fendall Close,438,585,All,0,1.03,1.15,3.29,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,0.2,0.23,0.26,0.3,0.34,1.39,1.54,1.71,3.91,4.95,0,0,0,0,0,0.2,0.24,0.29,1.35
30,15,Fendall Close,643,736,All,2.64,3.07,5.66,7.34,0,0,0,0,0,0,1.2,1.4,11.62,0,0,0,0,0,1,1.38,1.63
31,15,Fendall Close,736,814,All,1.04,2.12,3.31,4.62,0,0,0,0,0,0,1.2,1.4,11.63,0,0,0,0,0,1,1.38,1.64
32,9339,Weston Way,814,886,All,6.04,8.82,12.17,16.13,20.9,26.59,33.18,40.68,48.03,55.14,62.01,68.73,75.49,82.28,89.1,95.97,100,100,0,11,16.17
33,9339,Weston Way,886,939,All,0,1.3,2.75,4.11,5.72,7.71,10.26,13.37,17.2,22.03,27.55,33.49,39.89,47.2,55.49,64.76,0,1.2,4.76,29.41,69.06
34,9339,Weston Way,965,1051,All,0,0.3,0.67,1.16,1.81,4.75,7.01,0,0,0.2,0.38,1.76,2.77,4.45,7.08,0,0.2,0.79,3.23,9.63,15.21
35,9339,Weston Way,1051,1219,All,0,1.13,0,0,0,0,0,1,1.37,1.6,11.87,0,0,0,0,0,1.2,1.45,1.75,13.09,0
36,9339,Weston Way,1237,1589,All,2.9,4.44,0,0,0,0,0,1.2,1.42,1.68,12.98,0,0,0,0,0,1.2,1.48,1.82,13.21,14.84
37,9339,Weston Way,1589,1999,All,2.9,4.44,6.17,0,0,0,0,0,1.2,1.42,1.69,13,0,0,0,0,1,1.41,1.7,2.05,13.45
38,9339,Weston Way,1999,2369,All,2.9,5.14,0,0,0,0,0,0,0,1.2,11.37,0,0,0,0,0,0,1.2,1.38,11.59,0
39,9339,Weston Way,2385,2696,All,0.58,2.48,3.64,0,0,0,0,0,0,0,0,0,1.2,1.37,11.57,0,0,0,0,0,0
40,9339,Weston Way,2696,3114,All,0.54,0,0,0,0,0,0,0,1.2,11.37,0,0,0,0,0,0,1.2,1.37,11.57,0,0
41,9339,Weston Way,3114,3398,All,0.24,2.26,3.36,4.58,5.93,0,0,0,0,0,0,0,0,0,1.2,1.34,11.51,0,0,0,0
42,9339,Weston Way,3398,3457,All,0.8,1.74,2.76,3.87,5.09,0,0,0,0,0,0,0.2,0.24,0.28,0.34,1.4,1.58,1.82,2.1,13.42,0
43,9339,Weston Way,3457,3675,All,0.02,0.22,0.26,3.3,4.25,5.26,6.38,7.61,8.96,10.42,11.99,13.69,15.57,17.63,19.88,22.46,25.47,28.94,32.86,37.26,42.19
44,9167,Foxglove Drive,0,668,All,2.38,2.54,2.7,2.89,3.11,3.38,5.89,7.05,8.3,0,0,0,0,0,0,0,0,0,0,0,0
45,16,Sarah Lane,0,515,All,0,1,2.08,3.29,4.62,6.1,7.74,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.35
46,17,Ash Drive,0,318,All,0.02,0.4,0.71,1.09,1.59,2.22,5.15,0,0,0,0,0,0,0,0,1.2,1.4,1.63,11.9,0,0
47,18,Monaghan Way,0,80,All,0,0,0,0.2,0.23,0.26,0.29,1.33,2.46,4.32,5.33,0,0,0,0,0,0,0,0,0,0
48,1035,Cousins Avenue East,0,61,All,0,0.92,1.91,3,4.19,5.47,6.86,8.37,9.99,11.73,13.62,15.68,18.08,20.91,24.17,27.85,31.97,36.59,41.74,47.43,53.66
49,19,Elm Close,0,82,All,0,1.04,1.21,1.41,1.64,3.92,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
50,19,Elm Close,82,101,All,0,0.16,0.34,0.56,2.8,3.95,5.23,6.66,8.27,10.11,0,0,0.2,1.25,12.46,0,0,0,0,0,0
51,20,Burkes Creek Road,0,21,All,0,2.19,3.24,4.39,5.69,0,0,0,0,0,0,0,1.2,1.35,12.53,0,0,0,0,0,0
52,20,Burkes Creek Road,21,520,All,0,2.19,3.24,4.4,0,0,0,0,0,0,0,1.2,1.35,12.53,0,0,0,0,0,0,1.2
53,20,Burkes Creek Road,549,697,All,0.3,2.23,3.41,0,0,0,0,0,0,0,1.2,1.34,12.49,0,0,0,0,0,0,0,1.2
54,20,Burkes Creek Road,697,765,All,0.04,0.37,0.58,0.83,1.11,3.46,4.72,6.16,7.86,9.86,12.14,14.73,17.68,21.09,24.99,29.21,0,0.2,0.79,3.23,9.63
55,20,Burkes Creek Road,765,1789,All,0.2,1.26,2.44,0,0,0,0,0,0,0,1.2,1.34,12.5,0,0,0,0,0,0,0,1.2
56,21,Tapeka Heights Lane,0,277,All,0,1.09,2.3,3.67,5.26,7.09,9.34,0,0,0,0,0,0,0,0,0,1,1.36,1.58,1.83,2.12
57,22,Sir John McKenzie Drive,0,530,All,0,0.16,2.36,3.44,4.64,5.98,7.45,9.07,0,0,0,0,0,0,0,0,0,0,0,0,0.2
58,23,Apple Orchard Lane,0,185,All,0.14,1.11,2.16,3.32,4.57,5.93,7.4,8.97,0,0,0,0,0,0,0,0.2,0.25,0.3,0.37,1.45,1.69
59,974,Railway Terrace East,0,730,All,0,1.02,1.17,1.33,1.51,3.71,4.72,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
