elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,29.06,33.07,35.67,41.48,51.1,55.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Conifer Close,0,378,All,47.49,59.32,59.92,62.32,63.13,65.13,0,0,0,0,0,0,0,0,0,0,0,46.69,46.49,48.1,56.51
2,2,Fladgate Drive,0,565,All,0,34.07,38.48,40.88,48.7,55.91,59.72,0,0,0,0,0,0,0,0,0,0,0,0,34.07,40.68
3,4,Highfield Drive,0,71,All,53.91,55.71,58.12,60.92,62.32,64.73,65.33,0,0,0,0,0,0,0,0,0,0,0,0,0,31.06
4,3,Matai Way,0,557,All,0,32.46,36.87,39.28,46.69,54.71,58.32,0,0,0,0,0,0,0,0,0,0,0,0,0,37.27
5,5,Vintry Drive,0,362,All,48.3,54.51,56.71,59.52,60.32,62.73,0,0,0,0,0,0,0,0,0,0,0,0,37.27,43.49,42.69
6,6,Croatia Avenue,0,42,All,0,16.03,27.66,40.68,41.68,48.5,53.31,0,0,0,0,0,0,0,0,0,0,0,0,0,31.06
7,6,Croatia Avenue,42,76,All,0,30.26,34.07,36.47,42.28,51.7,56.31,61.92,66.93,72.95,76.75,76.35,80.36,79.16,77.15,79.56,79.56,80.36,81.56,81.16,79.16
8,7,Lumbarda Drive,0,152,All,0,0,0,21.64,25.85,34.87,39.08,42.69,46.29,52.91,59.92,64.53,65.73,58.72,59.12,61.12,62.93,0,37.27,36.47,46.89
9,8,Tarras Road,0,86,All,0,38.28,26.65,30.66,33.27,43.49,49.9,57.52,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,13.63,17.64,19.24,22.44,38.28,44.29,54.11,60.72,66.53,67.74,70.54,71.34,70.14,0,46.69,46.29,57.72,0,0,31.06
11,9,Kowhai Glen,0,305,All,46.49,47.09,47.9,51.3,54.91,59.52,62.12,64.73,0,0,0,0,0,0,0,46.69,44.69,39.48,37.88,47.49,45.49
12,1037,Epiha Road Upper,0,415,All,0,51.7,53.31,56.11,0,0,0,0,0,0,0,52.91,52.1,68.54,0,0,0,0,0,0,37.27
13,1038,Gossey Drive North,1319,1723,All,0,52.1,53.71,56.31,0,0,0,0,0,0,0,52.91,52.51,68.94,0,0,0,0,0,0,37.27
14,10,Upper Ahu Ahu Road,0,46,All,83.37,0,0,0,0,0,0,45.89,50.1,57.92,61.32,59.32,60.72,55.71,57.92,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,52.71,48.1,57.52,59.92,59.72,62.32,63.13,65.33,67.94,74.55,77.96,78.36,0,0,43.49,52.3,64.93,64.73,0,0,0
16,11,Lower Ahu Ahu Road,0,158,All,0,19.04,46.69,46.69,48.1,53.31,56.91,61.72,0,0,0,0,0,0,0,0,0,0,0,0,31.06
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,31.06,37.07,41.48,45.89,52.51,51.3,63.53,64.93,58.92,59.52,61.72,63.53,64.33,65.73,65.53,71.94
18,12,Kriletich Drive,0,263,All,46.09,46.09,47.49,50.7,54.51,58.92,61.92,64.93,0,0,0,0,0,43.49,46.09,48.5,45.89,54.71,53.91,50.3,48.9
19,917,Port Street East,0,21,All,0,25.65,30.06,32.87,38.48,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.67
20,917,Port Street East,21,396,All,0,0,0,0,0,0,35.67,48.7,50.9,57.72,60.52,64.13,65.53,0,0,0,0,0,0,0,0
21,917,Port Street East,396,874,All,0,25.85,30.26,33.07,38.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.68,36.47
22,917,Port Street East,874,1340,All,45.89,54.31,57.11,60.72,61.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.68,36.67
23,917,Port Street East,1340,1431,All,0,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.49,59.92,0,0
24,917,Port Street East,1431,2115,All,0,51.1,52.3,54.71,55.91,58.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,917,Port Street East,2120,2350,All,0,50.5,52.1,54.51,55.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.67
26,13,Puriri Dale Way,0,293,All,0,41.88,44.09,49.7,54.71,61.72,62.93,0,0,0,0,0,0,0,0,0,0,0,43.49,46.69,44.29
27,15,Fendall Close,0,438,All,47.09,53.31,55.31,58.32,60.72,0,0,0,0,0,0,0,49.9,66.53,0,0,0,0,0,0,37.27
28,15,Fendall Close,438,585,All,0,37.68,26.25,44.69,0,0,0,0,0,0,0,0,0,65.33,0,0,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,20.04,23.25,27.05,35.87,39.28,49.7,53.71,59.52,64.73,68.34,0,0,0,0,0,37.27,37.47,36.07,41.48
30,15,Fendall Close,643,736,All,58.52,57.31,62.73,64.73,0,0,0,0,0,0,56.11,56.11,72.14,0,0,0,0,0,40.28,45.89,44.69
31,15,Fendall Close,736,814,All,51.3,51.3,55.11,58.52,0,0,0,0,0,0,56.11,56.51,72.55,0,0,0,0,0,40.28,46.89,45.09
32,9339,Weston Way,814,886,All,73.15,76.55,80.16,83.77,87.58,89.38,91.38,90.98,91.78,93.39,95.19,94.59,96.19,96.39,95.99,95.39,100,100,0,56.31,62.73
33,9339,Weston Way,886,939,All,0,46.69,50.5,55.31,59.12,63.73,65.73,67.74,71.74,80.76,85.57,86.77,90.18,88.58,87.58,87.17,0,46.69,58.32,75.15,81.56
34,9339,Weston Way,965,1051,All,0,22.85,24.05,28.66,34.47,46.29,55.71,0,0,49.9,50.9,57.52,54.51,56.11,58.32,0,43.49,41.88,56.11,54.51,62.32
35,9339,Weston Way,1051,1219,All,0,44.29,0,0,0,0,0,45.89,51.3,58.32,71.34,0,0,0,0,0,49.9,52.91,51.3,62.32,0
36,9339,Weston Way,1237,1589,All,60.72,62.53,0,0,0,0,0,46.69,52.1,58.72,73.75,0,0,0,0,0,49.9,53.31,52.1,63.33,61.52
37,9339,Weston Way,1589,1999,All,60.72,62.73,63.73,0,0,0,0,0,49.9,57.11,60.92,72.75,0,0,0,0,46.69,52.1,50.7,50.1,58.52
38,9339,Weston Way,1999,2369,All,60.72,64.33,0,0,0,0,0,0,0,55.31,70.14,0,0,0,0,0,0,46.69,47.9,59.52,0
39,9339,Weston Way,2385,2696,All,48.7,54.71,57.31,0,0,0,0,0,0,0,0,0,49.9,52.91,62.93,0,0,0,0,0,0
40,9339,Weston Way,2696,3114,All,48.5,0,0,0,0,0,0,0,49.9,70.74,0,0,0,0,0,0,49.9,50.9,62.32,0,0
41,9339,Weston Way,3114,3398,All,46.29,54.11,55.51,58.12,60.12,0,0,0,0,0,0,0,0,0,51.3,52.91,64.13,0,0,0,0
42,9339,Weston Way,3398,3457,All,49.9,49.1,51.1,53.71,55.31,0,0,0,0,0,0,43.49,46.89,46.69,46.29,54.71,57.11,56.51,54.11,63.93,0
43,9339,Weston Way,3457,3675,All,43.89,22.04,21.44,44.89,40.88,48.1,53.11,59.52,64.53,69.94,72.34,73.35,75.95,75.35,74.15,76.55,76.75,77.35,78.56,77.35,75.95
44,9167,Foxglove Drive,0,668,All,57.11,55.11,50.1,32.46,36.87,42.28,52.3,58.92,63.93,0,0,0,0,0,0,0,0,0,0,0,0
45,16,Sarah Lane,0,515,All,0,35.67,39.88,43.89,49.9,57.52,60.32,0,0,0,0,0,0,0,0,0,0,0,0,40.28,41.88
46,17,Ash Drive,0,318,All,43.89,23.65,24.45,27.66,33.67,40.68,50.7,0,0,0,0,0,0,0,0,51.3,54.51,54.91,63.33,0,0
47,18,Monaghan Way,0,80,All,0,0,0,21.64,25.45,34.07,37.27,49.1,56.11,63.73,66.13,0,0,0,0,0,0,0,0,0,0
48,1035,Cousins Avenue East,0,61,All,0,27.45,31.66,34.47,40.28,49.9,54.51,60.72,65.73,71.74,75.15,75.15,79.16,77.56,75.55,77.15,78.36,78.76,80.36,79.16,77.56
49,19,Elm Close,0,82,All,0,40.88,27.05,31.06,33.87,44.09,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,37.27
50,19,Elm Close,82,101,All,0,18.44,21.84,25.65,35.87,44.29,50.9,58.52,63.73,69.34,0,0,46.69,51.3,63.13,0,0,0,0,0,0
51,20,Burkes Creek Road,0,21,All,0,52.51,54.11,56.71,58.52,0,0,0,0,0,0,0,49.9,52.1,63.73,0,0,0,0,0,0
52,20,Burkes Creek Road,21,520,All,0,52.91,54.51,57.11,0,0,0,0,0,0,0,52.91,52.91,69.34,0,0,0,0,0,0,37.27
53,20,Burkes Creek Road,549,697,All,46.89,53.71,56.11,0,0,0,0,0,0,0,56.11,54.91,72.95,0,0,0,0,0,0,0,37.27
54,20,Burkes Creek Road,697,765,All,44.09,23.45,23.65,27.25,31.06,42.89,49.5,57.72,63.33,69.14,72.75,74.75,78.96,78.36,76.55,78.56,0,37.27,38.68,51.3,51.3
55,20,Burkes Creek Road,765,1789,All,45.89,46.29,48.5,0,0,0,0,0,0,0,56.11,55.11,73.15,0,0,0,0,0,0,0,37.27
56,21,Tapeka Heights Lane,0,277,All,0,43.49,45.09,52.1,57.52,61.92,64.13,0,0,0,0,0,0,0,0,0,46.69,49.9,49.9,49.5,45.89
57,22,Sir John McKenzie Drive,0,530,All,0,19.64,47.29,47.49,50.5,56.51,59.12,63.33,0,0,0,0,0,0,0,0,0,0,0,0,31.06
58,23,Apple Orchard Lane,0,185,All,45.09,43.69,41.48,45.29,49.7,56.11,58.52,63.13,0,0,0,0,0,0,0,46.69,45.09,39.88,38.28,47.9,45.69
59,974,Railway Terrace East,0,730,All,0,36.67,26.45,30.46,32.67,43.29,49.3,56.51,0,0,0,0,0,0,0,0,0,0,0,0,0
60,24,George Noble Road,0,272,All,0,21.24,48.3,50.1,51.9,0,0,0,0,0,0,0,0,0,0,0,49.9,49.5,48.7,59.92,57.52
61,24,George Noble Road,272,286,All,0,15.63,18.84,20.44,29.06,37.27,45.49,51.3,56.31,62.93,66.53,69.34,70.94,70.54,70.14,73.35,75.95,76.75,77.76,75.95,74.75
62,25,Founders Lane,0,597,All,0,0,0,0,23.25,34.47,39.88,50.1,54.91,61.52,63.33,62.32,62.93,0,43.49,49.1,54.91,58.32,58.72,62.12,62.53
63,26,Stud Road,0,205,All,0,20.84,22.85,27.05,36.47,45.89,52.1,0,0,0,0,0,0,0,0,0,49.9,50.3,61.92,0,0
64,27,Gallop Lane,0,116,All,0,17.64,28.66,42.69,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0,37.27,42.69,54.11
65,27,Gallop Lane,116,136,All,46.69,23.25,21.64,24.85,28.66,37.68,41.68,43.89,46.69,53.31,53.71,64.73,66.13,59.12,59.32,61.52,63.33,63.73,65.33,65.13,65.93
66,7056,Dawick Street,0,78,All,0,16.83,28.26,41.88,43.09,50.1,53.51,59.72,0,0,0,0,0,0,0,0,0,0,0,0,0
67,7056,Dawick Street,78,88,All,59.92,57.72,56.91,54.11,48.9,47.9,52.51,58.72,63.53,67.74,69.74,73.95,77.96,76.35,74.95,76.95,77.35,77.76,78.96,77.15,75.15
68,28,Stirrup Lane,0,261,All,44.29,44.69,56.31,57.92,59.52,62.53,63.53,65.93,0,0,0,0,0,0,0,0,0,0,0,40.28,43.09
69,29,Riroriro Road,0,122,All,44.29,44.49,46.09,55.71,58.12,61.52,61.32,64.13,0,0,0,0,0,0,0,0,0,0,0,0,0
70,29,Riroriro Road,122,139,All,0,14.43,18.04,20.04,24.85,35.27,40.28,53.71,59.12,65.73,67.33,70.14,70.14,0,43.49,48.9,0,0,0,0,0
71,30,Curly McLeod Way,0,69,All,47.29,49.5,52.91,59.32,60.92,64.33,65.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,30,Curly McLeod Way,69,82,All,71.74,71.54,72.34,72.95,73.15,0,0,46.69,55.51,75.55,79.36,80.56,86.97,87.37,86.77,88.38,88.78,89.38,0,38.68,49.1
73,32,Karearea Lane,0,56,All,52.3,54.91,58.52,61.72,62.93,65.33,66.33,67.54,70.14,78.16,81.96,82.77,86.37,83.57,81.36,84.17,83.57,83.77,84.57,84.37,82.57
74,32,Karearea Lane,84,154,All,51.9,0,0,0,0,0,0,0,0,49.9,50.3,44.69,48.1,47.49,53.51,56.11,57.72,57.31,54.51,64.13,0
75,32,Karearea Lane,154,820,All,0,0,0,0,0,0,0,0,0,0,0,0,0,43.49,52.1,54.51,64.33,0,0,0,0
76,32,Karearea Lane,820,1262,All,0,12.83,24.85,29.46,37.27,45.49,51.3,58.32,0,0,0,0,0,0,0,0,0,0,0,0,0
77,33,Okoare Lane,0,58,All,0,15.03,18.44,28.46,31.86,39.68,45.89,51.7,58.92,65.33,0,0,0,0,0,0,0,0,0,0,0
78,35,Leicester Place,0,660,All,0,0,0,21.64,28.46,39.48,45.69,51.9,56.91,63.53,0,43.49,48.3,51.1,54.31,60.52,63.93,66.93,66.53,66.13,64.33
79,36,Paneika Lane,0,370,All,44.29,15.83,18.64,25.05,29.66,37.07,41.48,44.29,55.31,61.72,63.53,62.93,63.13,57.52,60.52,63.33,0,37.27,51.7,52.71,72.55
80,36,Paneika Lane,370,391,All,0,36.47,41.08,45.89,50.9,58.32,60.72,0,0,0,0,0,0,0,0,0,0,0,43.49,44.69,43.49
