elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,36.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Conifer Close,0,378,All,47.49,64.33,72.14,0,0,0,0,0,0,0,0,0,0,0,0,71.74,0,0,0,0,0
2,2,Fladgate Drive,0,565,All,0,40.88,0,0,0,0,0,0,0,0,0,0,0,0,0,71.74,0,0,0,0,0
3,4,Highfield Drive,0,71,All,53.91,60.92,0,0,0,0,0,0,0,0,0,0,0,0,0,59.12,0,0,0,0,0
4,3,Matai Way,0,557,All,0,39.48,0,0,0,0,0,0,0,0,0,0,0,0,0,59.12,0,0,0,0,0
5,5,Vintry Drive,0,362,All,48.3,59.92,0,0,0,0,0,0,0,0,0,0,0,0,0,71.74,0,0,0,0,0
6,6,Croatia Avenue,0,42,All,0,24.25,47.49,62.93,75.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,Croatia Avenue,42,76,All,0,37.27,52.1,60.32,75.95,87.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,Lumbarda Drive,0,152,All,0,0,0,43.49,51.7,65.33,63.33,58.32,60.72,61.52,66.53,76.35,73.35,0,0,0,0,0,0,0,0
9,8,Tarras Road,0,86,All,0,45.09,45.89,56.31,65.33,79.56,79.96,80.76,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,22.04,34.87,37.27,47.09,70.14,73.75,77.56,78.76,0,0,0,0,0,0,0,0,0,0,0,0
11,9,Kowhai Glen,0,305,All,46.49,53.11,62.12,71.14,0,0,0,0,0,0,0,59.12,58.32,64.53,68.54,64.53,0,0,0,0,0
12,1037,Epiha Road Upper,0,415,All,0,57.11,66.93,75.95,0,0,0,0,0,0,0,65.33,64.93,81.96,0,0,0,0,0,0,0
13,1038,Gossey Drive North,1319,1723,All,0,57.52,67.33,76.35,0,0,0,0,0,0,0,65.33,65.33,82.36,0,0,0,0,0,0,0
14,10,Upper Ahu Ahu Road,0,46,All,83.37,0,0,0,0,0,0,66.13,63.73,66.53,68.14,70.74,70.14,76.15,83.77,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,52.71,54.11,70.14,78.36,81.56,0,0,0,0,0,0,0,0,0,62.32,62.32,0,0,0,0,0
16,11,Lower Ahu Ahu Road,0,158,All,0,27.05,61.12,68.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,62.32,61.72,57.31,60.52,61.32,60.52,75.35,72.34,0,0,0,0,0,0,0,0
18,12,Kriletich Drive,0,263,All,46.09,52.1,61.72,0,0,0,0,0,0,59.12,59.12,62.53,67.74,73.35,80.96,83.77,0,0,0,0,0
19,917,Port Street East,0,21,All,0,33.67,49.7,58.32,73.95,85.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,917,Port Street East,21,396,All,0,0,0,0,0,0,56.11,68.14,64.73,66.33,67.13,75.95,72.95,0,0,0,0,0,0,0,0
21,917,Port Street East,396,874,All,0,33.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,917,Port Street East,874,1340,All,45.89,59.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,917,Port Street East,1340,1431,All,0,33.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,917,Port Street East,1431,2115,All,0,56.71,66.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,917,Port Street East,2120,2350,All,0,56.11,65.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
