elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,38.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.11,84.57,0,0,0
1,1,Conifer Close,0,378,All,47.49,66.33,75.35,0,0,0,0,0,0,0,0,0,0,0,0,74.95,70.54,87.17,0,0,0
2,2,Fladgate Drive,0,565,All,0,43.29,0,0,0,0,0,0,0,0,0,0,0,0,0,74.95,69.34,86.77,0,0,0
3,4,Highfield Drive,0,71,All,53.91,62.93,0,0,0,0,0,0,0,0,0,0,0,0,0,62.32,67.74,85.57,0,0,0
4,3,Matai Way,0,557,All,0,41.88,0,0,0,0,0,0,0,0,0,0,0,0,0,62.32,68.14,85.97,0,0,0
5,5,Vintry Drive,0,362,All,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,74.95,76.95,85.57,0,0,0,0
6,6,Croatia Avenue,0,42,All,0,26.65,51.3,63.13,76.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.94,84.77
7,6,Croatia Avenue,42,76,All,0,39.88,55.71,60.32,76.35,85.17,0,0,0,0,0,0,0,0,0,0,56.11,53.71,58.32,68.94,71.74
8,7,Lumbarda Drive,0,152,All,0,0,0,37.27,52.51,66.53,64.53,59.52,62.32,62.53,68.14,77.56,74.55,0,0,0,0,0,0,0,0
9,8,Tarras Road,0,86,All,0,47.09,49.9,56.31,63.73,78.36,79.56,81.56,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,24.45,37.88,34.87,49.1,70.54,74.55,78.36,80.36,0,0,0,0,0,0,0,0,0,55.31,66.53,70.34
11,9,Kowhai Glen,0,305,All,46.49,55.31,65.73,71.34,0,0,0,0,0,0,0,60.72,60.72,67.74,68.54,66.93,74.15,70.94,70.94,75.55,81.96
12,1037,Epiha Road Upper,0,415,All,0,59.52,70.54,75.95,0,0,0,0,0,0,0,65.33,66.53,83.97,0,0,0,0,0,0,74.95
13,1038,Gossey Drive North,1319,1723,All,0,59.92,70.94,76.35,0,0,0,0,0,0,0,65.33,66.93,84.37,0,0,0,0,0,0,74.95
14,10,Upper Ahu Ahu Road,0,46,All,83.37,0,0,0,0,0,0,66.93,65.33,67.74,70.14,71.34,71.14,78.96,84.57,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,52.71,56.31,73.55,78.56,81.96,0,0,0,0,0,0,0,0,0,62.32,64.53,57.92,55.31,59.12,70.14,79.56
16,11,Lower Ahu Ahu Road,0,158,All,0,29.46,64.73,68.54,0,0,0,0,0,0,0,0,0,0,0,0,0,62.32,66.13,84.77,0
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,62.32,62.73,58.52,62.12,62.32,62.32,76.75,73.55,0,0,0,0,0,0,0,0
18,12,Kriletich Drive,0,263,All,46.09,54.31,65.33,0,0,0,0,0,0,59.12,60.52,63.33,69.34,76.75,82.57,85.17,82.57,79.76,0,0,0
