elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,0,24.25,23.25,20.84,21.64,23.85,24.45,24.65,24.85,26.25,25.45,24.65,24.85,25.65,26.25,26.45
1,1,Conifer Close,0,378,All,45.69,56.11,55.51,54.31,53.91,53.11,50.9,50.3,49.1,48.5,48.5,46.09,45.49,46.29,48.3,49.7
2,2,Fladgate Drive,0,565,All,0,30.46,29.46,28.06,31.66,31.86,32.46,34.27,34.67,34.87,35.27,35.67,35.67,36.27,37.47,38.28
3,4,Highfield Drive,0,71,All,52.71,52.51,52.51,52.91,52.71,52.91,51.5,51.1,49.7,49.1,49.1,46.49,45.89,45.69,47.09,47.9
4,3,Matai Way,0,557,All,0,28.26,27.25,24.85,28.86,29.66,29.66,31.26,31.26,31.46,31.86,31.46,31.86,33.07,34.07,34.87
5,5,Vintry Drive,0,362,All,46.09,50.7,50.9,51.3,50.3,49.1,48.1,47.49,44.49,42.28,42.69,41.08,42.08,42.28,42.69,43.89
6,6,Croatia Avenue,0,42,All,0,11.42,16.03,27.86,23.25,20.04,17.64,17.64,16.83,16.83,17.64,18.44,20.04,18.44,18.44,19.24
7,6,Croatia Avenue,42,76,All,0,25.85,24.85,22.85,24.45,25.85,27.05,27.05,27.05,27.86,27.45,27.45,27.86,27.86,28.26,29.06
8,7,Lumbarda Drive,0,152,All,0,0,0,6.01,5.61,4.01,3.21,2.4,2,2,2,4.01,4.01,3.61,2.81,2.4
9,8,Tarras Road,0,86,All,0,34.27,15.23,14.63,12.22,13.63,13.43,13.03,12.83,12.83,12.22,12.83,12.83,13.03,13.23,13.43
10,8,Tarras Road,86,120,All,0,8.22,6.01,4.41,2.81,7.41,6.61,9.82,9.82,10.62,9.82,10.62,9.02,9.02,8.22,8.22
11,9,Kowhai Glen,0,305,All,44.09,42.69,41.08,40.68,41.08,39.28,38.88,36.87,35.67,35.07,32.87,31.26,30.86,30.26,30.26,29.66
12,1037,Epiha Road Upper,0,415,All,0,47.49,47.09,46.69,46.69,44.69,44.29,40.28,39.48,39.48,39.08,38.68,39.88,39.48,39.88,40.28
13,1038,Gossey Drive North,1319,1723,All,0,48.3,47.49,47.49,47.49,45.09,45.09,41.08,41.08,40.28,39.48,39.48,40.28,41.08,40.28,41.08
14,10,Upper Ahu Ahu Road,0,46,All,79.76,0,0,0,0,0,0,4.01,2.81,3.01,2.61,1.6,1.6,1.6,1.8,1.6
15,10,Upper Ahu Ahu Road,46,68,All,51.3,43.29,52.3,51.5,49.9,47.29,44.09,39.48,37.68,36.47,36.07,35.47,32.67,32.46,32.87,33.27
16,11,Lower Ahu Ahu Road,0,158,All,0,14.63,39.28,33.67,30.46,28.46,27.66,26.65,27.45,28.86,28.26,29.06,28.86,28.86,29.86,31.26
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,1.2,2,1.6,1.6,1.6,0.8,3.21,3.61,4.01,3.21,3.61
18,12,Kriletich Drive,0,263,All,43.69,41.88,40.28,39.68,40.48,38.08,38.48,38.08,37.47,37.68,36.87,36.87,37.47,38.68,39.28,39.68
19,917,Port Street East,0,21,All,0,20.64,19.64,17.23,17.84,18.44,18.64,18.64,18.24,17.84,18.04,17.23,18.44,19.04,19.24,19.64
20,917,Port Street East,21,396,All,0,0,0,0,0,0,0.8,4.21,3.01,2.81,2.4,3.61,3.81,3.21,2.4,2
21,917,Port Street East,396,874,All,0,20.84,19.84,17.43,18.04,18.64,18.84,18.84,18.44,18.04,18.24,17.43,18.64,19.24,19.44,19.84
22,917,Port Street East,874,1340,All,43.49,50.3,51.5,52.3,51.9,52.1,50.7,48.9,48.3,47.9,44.89,45.29,44.49,43.89,43.69,44.09
23,917,Port Street East,1340,1431,All,0,20.24,19.24,16.83,17.43,18.04,18.24,18.24,17.84,17.43,16.83,16.83,16.43,17.64,17.84,18.44
24,917,Port Street East,1431,2115,All,0,46.69,45.69,45.69,43.29,37.47,34.67,30.66,29.06,26.05,23.05,20.64,18.04,16.83,17.03,17.23
25,917,Port Street East,2120,2350,All,0,45.89,45.09,45.09,41.88,37.27,34.07,29.46,27.86,24.85,21.64,20.04,16.83,16.03,16.83,16.83
26,13,Puriri Dale Way,0,293,All,0,37.88,36.07,38.48,40.68,43.09,43.69,47.09,47.7,48.1,49.5,51.1,53.71,56.11,58.92,60.52
27,15,Fendall Close,0,438,All,44.89,49.5,49.5,49.9,50.5,49.5,49.7,48.5,48.5,48.7,49.7,50.1,52.1,52.51,55.11,56.11
28,15,Fendall Close,438,585,All,0,33.67,14.83,31.46,22.44,17.43,16.83,16.63,15.83,15.83,15.43,14.63,14.63,14.23,14.23,14.43
29,15,Fendall Close,585,643,All,0,0,9.02,7.82,6.61,5.21,4.01,5.21,4.01,3.61,5.21,5.21,5.21,4.81,4.81,4.01
30,15,Fendall Close,643,736,All,55.91,54.51,57.52,57.72,57.52,58.32,60.32,62.73,66.33,71.74,73.75,75.35,75.95,76.55,76.95,76.75
31,15,Fendall Close,736,814,All,49.1,46.89,49.1,50.1,50.7,49.7,49.9,48.7,48.9,48.3,49.3,49.9,50.3,50.7,55.31,59.32
32,9339,Weston Way,814,886,All,71.34,72.95,76.75,80.16,83.17,85.37,86.77,87.58,88.18,88.18,88.38,88.38,87.98,86.37,86.17,85.77
33,9339,Weston Way,886,939,All,0,42.48,43.49,45.89,48.3,50.3,51.7,53.51,55.31,58.32,63.53,67.33,69.54,72.14,72.95,73.55
34,9339,Weston Way,965,1051,All,0,17.64,12.22,12.83,12.83,16.03,24.85,37.88,47.49,50.5,54.51,59.12,63.33,66.13,68.54,69.34
35,9339,Weston Way,1051,1219,All,0,40.08,40.48,42.89,45.89,49.9,52.1,53.91,55.91,59.92,64.93,68.74,71.14,72.75,73.95,75.15
36,9339,Weston Way,1237,1589,All,56.71,58.52,59.12,59.32,60.32,61.52,63.93,68.34,73.15,76.55,78.36,79.56,80.76,80.96,82.36,83.37
37,9339,Weston Way,1589,1999,All,56.71,58.72,59.32,59.52,60.52,61.72,64.13,68.54,73.35,76.75,78.56,79.76,80.96,81.16,82.57,83.57
38,9339,Weston Way,1999,2369,All,56.71,60.52,59.92,59.92,59.92,59.72,59.72,60.32,61.92,63.53,66.93,68.94,70.34,72.55,72.55,73.35
39,9339,Weston Way,2385,2696,All,46.89,50.9,51.7,51.9,51.5,52.3,51.1,51.7,51.5,52.3,53.51,54.31,56.51,59.12,60.72,61.52
40,9339,Weston Way,2696,3114,All,46.49,43.49,43.09,41.88,41.48,42.89,39.08,39.08,37.88,37.88,36.47,36.47,37.27,38.48,39.08,39.48
41,9339,Weston Way,3114,3398,All,43.89,49.9,49.7,49.7,50.1,48.9,47.7,47.7,46.49,43.49,42.89,43.69,43.69,44.49,46.49,48.7
42,9339,Weston Way,3398,3457,All,47.49,43.89,43.69,42.69,41.68,38.48,36.87,35.27,34.47,32.06,31.26,30.06,29.86,29.26,30.06,30.66
43,9339,Weston Way,3457,3675,All,41.48,17.03,10.02,31.66,20.84,17.03,16.43,16.23,15.43,15.43,14.63,14.23,13.63,13.63,13.63,13.63
44,9167,Foxglove Drive,0,668,All,55.11,51.7,43.29,16.23,15.23,12.42,15.63,15.03,14.83,14.43,13.83,13.23,13.03,12.83,12.83,12.83
45,16,Sarah Lane,0,515,All,0,31.66,30.66,31.06,33.27,34.07,36.07,36.47,36.47,37.27,37.88,37.88,38.68,41.48,41.88,42.69
46,17,Ash Drive,0,318,All,41.48,18.64,12.63,11.82,12.42,10.82,14.03,15.43,19.44,32.46,38.28,42.48,45.29,47.49,49.1,51.5
47,18,Monaghan Way,0,80,All,0,0,0,6.01,5.21,3.21,2.4,4.41,5.61,7.41,6.21,5.61,5.61,5.61,5.61,5.61
48,1035,Cousins Avenue East,0,61,All,0,23.25,21.64,19.24,20.04,21.64,21.64,21.64,21.64,20.84,20.84,22.44,22.44,21.64,21.64,22.44
49,19,Elm Close,0,82,All,0,37.27,15.63,15.03,12.63,14.03,13.83,13.63,13.43,14.03,14.03,13.83,14.43,14.83,15.03,15.43
50,19,Elm Close,82,101,All,0,14.03,10.42,9.82,14.03,14.23,14.23,14.43,14.63,15.03,15.03,15.23,15.63,17.03,18.84,20.64
51,20,Burkes Creek Road,0,21,All,0,48.5,48.3,48.1,47.7,47.09,45.89,46.09,42.28,41.68,41.48,40.88,41.88,42.69,43.09,44.49
52,20,Burkes Creek Road,21,520,All,0,49.1,48.7,48.3,47.9,47.49,46.29,46.29,42.69,41.88,42.28,41.48,42.28,43.49,44.29,45.89
53,20,Burkes Creek Road,549,697,All,44.49,49.7,50.1,51.1,50.9,50.1,49.5,48.3,48.1,46.69,43.69,44.29,44.69,45.49,48.1,50.3
54,20,Burkes Creek Road,697,765,All,41.68,18.24,11.82,10.82,9.62,13.03,13.23,13.23,14.23,14.63,14.83,15.83,18.84,22.44,24.25,26.25
55,20,Burkes Creek Road,765,1789,All,43.49,42.08,41.48,41.28,43.49,43.29,43.89,42.28,41.48,41.48,41.88,42.28,43.49,44.29,47.49,48.9
56,21,Tapeka Heights Lane,0,277,All,0,39.08,37.27,41.08,44.69,46.69,49.1,50.9,51.7,54.51,56.11,59.92,63.73,65.33,66.93,68.54
57,22,Sir John McKenzie Drive,0,530,All,0,15.03,40.08,35.07,34.07,32.87,30.86,31.66,31.86,32.26,32.46,32.67,32.06,32.87,33.87,34.67
58,23,Apple Orchard Lane,0,185,All,42.69,39.68,32.06,32.67,32.46,32.06,29.86,31.06,30.66,30.06,29.06,27.66,28.06,27.66,27.05,27.45
