elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,0.073,0.151,0.236,0.329,0.429,0.536,0.651,0.773,0.903,1.04,1.184,1.352,1.549,1.776,2.033,2.319,2.634,2.979,3.354,3.758
1,1,Conifer Close,0,378,All,0,0.1,0.174,0.256,0.345,0.442,0.546,0.658,0.778,0.905,1.04,1.183,1.337,1.522,1.738,1.984,2.261,2.568,2.906,3.274,3.674
2,2,Fladgate Drive,0,565,All,0,0.074,0.153,0.239,0.333,0.434,0.543,0.659,0.783,0.915,1.054,1.2,1.373,1.576,1.809,2.073,2.366,2.69,3.043,3.427,3.841
3,4,Highfield Drive,0,71,All,0,0.074,0.152,0.238,0.331,0.432,0.54,0.656,0.779,0.91,1.048,1.194,1.365,1.566,1.796,2.057,2.347,2.668,3.018,3.398,3.808
4,3,Matai Way,0,557,All,0,0.074,0.153,0.239,0.333,0.434,0.543,0.66,0.783,0.915,1.054,1.201,1.374,1.577,1.81,2.073,2.367,2.69,3.044,3.428,3.842
5,5,Vintry Drive,0,362,All,0,0.075,0.155,0.243,0.338,0.441,0.552,0.671,0.797,0.931,1.073,1.222,1.402,1.613,1.855,2.127,2.431,2.765,3.131,3.527,3.954
6,6,Croatia Avenue,0,42,All,0,0,0.1,0.173,0.252,0.337,0.431,0.531,0.639,0.754,0.877,1.007,1.145,1.29,1.46,1.659,1.889,2.147,2.436,2.754,3.101
7,6,Croatia Avenue,42,76,All,0,0.073,0.151,0.236,0.329,0.429,0.537,0.651,0.774,0.903,1.04,1.185,1.353,1.55,1.777,2.034,2.32,2.636,2.981,3.356,3.761
8,7,Lumbarda Drive,0,152,All,0,0,0,0,0,0,0,0,0,0,0,0.1,0.173,0.251,0.335,0.428,0.527,0.634,0.749,0.87,0.999
9,8,Tarras Road,0,86,All,0,0,0,0,0,0.1,0.173,0.253,0.341,0.435,0.537,0.647,0.764,0.888,1.02,1.159,1.306,1.482,1.688,1.924,2.189
10,8,Tarras Road,86,120,All,0,0,0,0,0,0,0,0.1,0.173,0.251,0.337,0.429,0.53,0.637,0.752,0.875,1.005,1.142,1.287,1.455,1.653
11,9,Kowhai Glen,0,305,All,0,0.074,0.152,0.238,0.331,0.431,0.539,0.655,0.778,0.908,1.046,1.192,1.362,1.562,1.792,2.051,2.341,2.66,3.009,3.388,3.796
12,1037,Epiha Road Upper,0,415,All,0,0.1,0.174,0.255,0.343,0.439,0.542,0.653,0.772,0.898,1.031,1.173,1.323,1.504,1.716,1.957,2.229,2.531,2.864,3.227,3.62
13,1038,Gossey Drive North,1319,1723,All,0,0.1,0.174,0.255,0.343,0.439,0.542,0.653,0.772,0.898,1.032,1.173,1.324,1.505,1.716,1.958,2.23,2.532,2.865,3.228,3.621
14,10,Upper Ahu Ahu Road,0,46,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.093,1.196,1.31,1.435
15,10,Upper Ahu Ahu Road,46,68,All,0,0,0.1,0.174,0.255,0.344,0.44,0.544,0.655,0.774,0.9,1.033,1.174,1.327,1.509,1.722,1.964,2.236,2.537,2.869,3.231
16,11,Lower Ahu Ahu Road,0,158,All,0,0,0.1,0.174,0.253,0.339,0.433,0.535,0.644,0.761,0.885,1.016,1.155,1.302,1.476,1.68,1.913,2.177,2.471,2.795,3.149
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0,0,0,0,0,0,0.1,0.174,0.252,0.338,0.432,0.533,0.641,0.757,0.881,1.012
18,12,Kriletich Drive,0,263,All,0,0.075,0.154,0.242,0.337,0.44,0.55,0.668,0.794,0.928,1.069,1.218,1.397,1.606,1.846,2.117,2.419,2.751,3.114,3.508,3.933
19,917,Port Street East,0,21,All,0,0.072,0.147,0.23,0.32,0.417,0.521,0.632,0.75,0.876,1.008,1.147,1.304,1.488,1.701,1.942,2.212,2.509,2.835,3.189,3.572
20,917,Port Street East,21,396,All,0,0,0,0,0,0,0,0,0,0,0,0.1,0.175,0.256,0.345,0.441,0.543,0.653,0.77,0.894,1.025
21,917,Port Street East,396,874,All,0,0.072,0.147,0.23,0.32,0.417,0.522,0.633,0.751,0.876,1.009,1.148,1.305,1.49,1.703,1.944,2.214,2.512,2.838,3.193,3.576
22,917,Port Street East,874,1340,All,0.01,0.112,0.221,0.338,0.461,0.592,0.729,0.878,1.055,1.261,1.494,1.756,2.047,2.365,2.712,3.087,3.491,3.926,4.431,5.008,5.655
23,917,Port Street East,1340,1431,All,0,0.072,0.147,0.23,0.32,0.417,0.521,0.632,0.75,0.875,1.007,1.146,1.303,1.487,1.699,1.94,2.209,2.506,2.832,3.185,3.567
24,917,Port Street East,1431,2115,All,0,0.1,0.171,0.248,0.332,0.423,0.521,0.625,0.737,0.856,0.982,1.115,1.255,1.415,1.603,1.819,2.063,2.335,2.636,2.964,3.32
25,917,Port Street East,2120,2350,All,0,0.1,0.171,0.248,0.332,0.423,0.521,0.625,0.737,0.856,0.982,1.115,1.255,1.415,1.603,1.819,2.063,2.335,2.635,2.964,3.32
26,13,Puriri Dale Way,0,293,All,0,0.075,0.155,0.242,0.338,0.441,0.552,0.67,0.796,0.93,1.072,1.222,1.401,1.612,1.853,2.125,2.429,2.763,3.127,3.523,3.95
27,15,Fendall Close,0,438,All,0.01,0.085,0.166,0.255,0.352,0.456,0.568,0.688,0.816,0.951,1.094,1.248,1.433,1.649,1.895,2.173,2.481,2.819,3.188,3.588,4.019
28,15,Fendall Close,438,585,All,0,0,0,0.1,0.175,0.258,0.348,0.445,0.55,0.662,0.781,0.907,1.04,1.181,1.338,1.523,1.738,1.982,2.255,2.556,2.887
29,15,Fendall Close,585,643,All,0,0,0,0,0,0,0,0,0,0,0.1,0.173,0.253,0.34,0.435,0.536,0.645,0.762,0.885,1.016,1.154
30,15,Fendall Close,643,736,All,0,0,0.1,0.176,0.258,0.348,0.446,0.552,0.666,0.788,0.917,1.055,1.2,1.359,1.55,1.773,2.027,2.312,2.629,2.978,3.358
31,15,Fendall Close,736,814,All,0,0.075,0.156,0.245,0.341,0.446,0.558,0.678,0.806,0.941,1.085,1.238,1.422,1.638,1.885,2.164,2.474,2.815,3.188,3.592,4.028
32,9339,Weston Way,814,886,All,0,0.077,0.159,0.25,0.348,0.455,0.57,0.693,0.824,0.964,1.111,1.273,1.467,1.694,1.953,2.245,2.569,2.926,3.316,3.737,4.192
33,9339,Weston Way,886,939,All,0,0,0.1,0.178,0.264,0.358,0.46,0.57,0.688,0.814,0.947,1.088,1.238,1.413,1.619,1.857,2.126,2.427,2.76,3.124,3.52
34,9339,Weston Way,965,1051,All,0,0,0,0,0,0.1,0.176,0.258,0.347,0.445,0.551,0.664,0.786,0.915,1.052,1.197,1.356,1.545,1.766,2.019,2.304
35,9339,Weston Way,1051,1219,All,0,0.076,0.157,0.245,0.342,0.447,0.559,0.68,0.808,0.944,1.088,1.242,1.428,1.645,1.894,2.174,2.486,2.829,3.204,3.61,4.048
36,9339,Weston Way,1237,1589,All,0.01,0.116,0.231,0.353,0.483,0.622,0.769,0.928,1.12,1.345,1.601,1.89,2.212,2.565,2.952,3.37,3.821,4.34,4.939,5.62,6.381
37,9339,Weston Way,1589,1999,All,0.01,0.116,0.231,0.353,0.484,0.622,0.769,0.928,1.12,1.345,1.602,1.891,2.212,2.566,2.952,3.371,3.822,4.34,4.94,5.621,6.383
38,9339,Weston Way,1999,2369,All,0.01,0.114,0.225,0.345,0.472,0.607,0.75,0.901,1.084,1.297,1.542,1.819,2.126,2.465,2.835,3.236,3.668,4.15,4.711,5.349,6.065
39,9339,Weston Way,2385,2696,All,0,0.075,0.155,0.242,0.337,0.44,0.551,0.67,0.796,0.93,1.071,1.22,1.4,1.61,1.851,2.122,2.425,2.759,3.123,3.518,3.944
40,9339,Weston Way,2696,3114,All,0,0.075,0.155,0.242,0.337,0.44,0.551,0.67,0.796,0.93,1.071,1.22,1.4,1.61,1.851,2.122,2.425,2.759,3.123,3.518,3.944
41,9339,Weston Way,3114,3398,All,0,0.074,0.154,0.241,0.335,0.437,0.547,0.664,0.789,0.922,1.062,1.21,1.386,1.593,1.83,2.097,2.395,2.723,3.082,3.471,3.891
42,9339,Weston Way,3398,3457,All,0,0.073,0.151,0.237,0.329,0.43,0.537,0.652,0.775,0.904,1.042,1.186,1.355,1.553,1.781,2.038,2.325,2.641,2.988,3.363,3.769
43,9339,Weston Way,3457,3675,All,0,0,0,0.1,0.173,0.25,0.334,0.426,0.525,0.632,0.746,0.866,0.995,1.13,1.273,1.438,1.631,1.854,2.106,2.387,2.697
44,9167,Foxglove Drive,0,668,All,0,0,0,0,0,0,0.1,0.171,0.247,0.329,0.418,0.515,0.618,0.728,0.846,0.97,1.101,1.24,1.394,1.576,1.785
45,16,Sarah Lane,0,515,All,0,0.074,0.153,0.24,0.334,0.436,0.545,0.662,0.787,0.919,1.059,1.206,1.381,1.586,1.821,2.087,2.383,2.709,3.066,3.453,3.87
46,17,Ash Drive,0,318,All,0,0,0,0,0,0,0.1,0.175,0.258,0.349,0.448,0.554,0.669,0.791,0.92,1.058,1.203,1.365,1.558,1.782,2.037
47,18,Monaghan Way,0,80,All,0,0,0,0,0,0,0,0,0.1,0.172,0.249,0.333,0.424,0.523,0.629,0.741,0.861,0.988,1.122,1.264,1.426
