elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,12.22,11.42,11.02,10.62,10.62,10.62,10.62,10.62,10.62,9.82,9.82,9.82,9.82,9.82,8.22,8.22
1,1,Conifer Close,0,378,All,24.85,24.25,24.05,23.45,23.45,23.45,23.25,23.25,23.25,23.25,23.25,23.45,23.65,23.85,23.85,23.85
2,2,Fladgate Drive,0,565,All,12.22,11.02,10.62,10.42,10.42,10.22,10.22,10.22,10.22,9.62,9.62,9.42,9.42,9.42,8.02,8.02
3,4,Highfield Drive,0,71,All,6.01,4.41,4.41,4.41,4.41,5.21,5.21,5.21,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
4,3,Matai Way,0,557,All,12.22,12.22,11.42,11.42,11.42,11.42,11.42,11.42,11.42,10.62,10.62,10.62,10.62,10.62,10.62,9.02
5,5,Vintry Drive,0,362,All,12.22,14.83,14.43,14.43,14.43,14.43,14.43,14.43,14.43,14.43,14.23,13.83,13.83,13.83,13.63,13.63
6,6,Croatia Avenue,0,42,All,6.01,6.01,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,7.41,7.41,7.41
7,6,Croatia Avenue,42,76,All,6.01,1.8,1.6,1.6,1.4,1.4,1.2,1.2,1.2,1,1,0.8,0.8,0.8,0.8,0.8
8,7,Lumbarda Drive,0,152,All,0,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.6,0.8,2.2,2.81,3.61,3.61,3.81
9,8,Tarras Road,0,86,All,12.22,17.64,17.64,17.64,17.64,17.64,17.64,17.64,17.64,18.44,18.44,18.44,18.44,18.44,19.24,20.04
10,8,Tarras Road,86,120,All,6.01,5.21,5.21,5.61,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01
11,9,Kowhai Glen,0,305,All,6.01,2.61,2.61,2.4,2.4,2.4,2,2,2,2,2,1.8,1.8,1.8,1.8,1.8
12,1037,Epiha Road Upper,0,415,All,29.86,29.86,29.46,29.06,29.06,29.46,28.66,29.06,28.26,28.26,28.26,28.26,28.66,28.66,29.06,29.06
13,1038,Gossey Drive North,1319,1723,All,29.86,29.86,29.46,29.06,29.06,29.46,28.66,29.06,28.26,28.26,28.26,28.26,28.66,28.66,29.06,29.06
14,10,Upper Ahu Ahu Road,0,46,All,6.01,1.6,2.4,3.01,3.21,3.61,3.81,3.61,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.61
15,10,Upper Ahu Ahu Road,46,68,All,6.01,5.21,5.21,5.61,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01
16,11,Lower Ahu Ahu Road,0,158,All,6.01,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,9.02,9.02,9.02,9.02,10.62
17,11,Lower Ahu Ahu Road,158,179,All,6.01,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,9.02,9.02,9.02,9.02,10.62
18,12,Kriletich Drive,0,263,All,6.01,2.4,2.2,2.2,2.2,2.2,1.8,1.8,1.8,1.8,1.8,1.6,1.6,1.6,1.6,1.6
19,917,Port Street East,0,21,All,24.85,22.85,22.85,22.04,22.04,21.24,21.24,21.24,20.84,20.44,20.44,20.44,20.04,20.04,20.04,19.24
20,917,Port Street East,21,396,All,24.85,28.46,34.27,41.48,47.9,55.91,60.52,66.33,69.54,72.14,75.75,77.56,79.76,82.77,84.37,85.57
21,917,Port Street East,396,874,All,24.85,22.85,22.85,22.04,22.04,21.24,21.24,21.24,20.84,20.44,20.44,20.44,20.04,20.04,20.04,19.24
22,917,Port Street East,874,1340,All,12.22,12.22,11.42,11.42,11.42,11.42,11.42,11.42,11.42,10.62,10.62,10.62,10.62,10.62,10.62,9.02
23,917,Port Street East,1340,1431,All,12.22,12.22,11.42,11.42,11.42,11.42,11.42,11.42,11.42,10.62,10.62,10.62,10.62,10.62,10.62,9.02
24,917,Port Street East,1431,2115,All,6.01,4.41,4.41,4.41,4.41,5.21,5.21,5.21,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
25,917,Port Street East,2120,2350,All,12.22,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,12.22,12.22,12.22,12.22,12.22,12.22
26,13,Puriri Dale Way,0,293,All,12.22,12.83,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22,11.42,11.42,11.42,11.42,11.42,9.82
27,15,Fendall Close,0,438,All,12.22,16.03,16.03,15.23,15.23,15.23,15.63,15.63,16.03,16.03,16.03,16.03,16.03,16.03,15.63,15.63
28,15,Fendall Close,438,585,All,12.22,18.04,18.44,18.04,18.44,18.44,18.44,18.84,18.84,18.84,19.24,19.64,20.44,21.64,21.64,21.64
29,15,Fendall Close,585,643,All,6.01,8.22,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.82,9.22,10.02,11.82,13.63,13.83,14.23
30,15,Fendall Close,643,736,All,24.85,24.65,24.85,24.65,24.65,24.65,24.25,25.05,25.45,25.65,25.85,26.05,26.45,27.05,27.05,27.45
31,15,Fendall Close,736,814,All,6.01,3.61,3.61,3.61,3.61,3.21,3.21,3.21,3.21,3.61,3.61,3.61,3.61,3.21,3.21,3.21
32,9339,Weston Way,814,886,All,12.22,10.82,10.42,10.22,10.02,10.02,10.02,10.02,9.82,9.42,9.42,9.22,9.22,8.02,7.82,7.82
33,9339,Weston Way,886,939,All,24.85,24.05,23.85,23.25,23.25,22.85,23.05,23.05,23.05,23.05,22.85,22.85,23.05,23.25,22.85,23.25
34,9339,Weston Way,965,1051,All,12.22,16.03,16.03,15.23,15.23,15.23,15.63,15.63,16.03,16.03,16.03,16.03,16.03,16.03,15.63,15.63
35,9339,Weston Way,1051,1219,All,12.22,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,12.22,12.22,12.22,12.22,12.22,12.22
36,9339,Weston Way,1237,1589,All,12.22,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,12.22,12.22,12.22,12.22,12.22,12.22
37,9339,Weston Way,1589,1999,All,12.22,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,12.22,12.22,12.22,12.22,12.22,12.22
38,9339,Weston Way,1999,2369,All,12.22,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,12.22,12.22,12.22,12.22,12.22,12.22
39,9339,Weston Way,2385,2696,All,24.85,23.25,23.25,22.85,22.44,22.04,22.04,21.64,21.64,21.64,21.64,21.64,21.64,21.24,20.84,20.84
40,9339,Weston Way,2696,3114,All,24.85,23.25,23.25,22.85,22.44,22.04,22.04,21.64,21.64,21.64,21.64,21.64,21.64,21.24,20.84,20.84
41,9339,Weston Way,3114,3398,All,12.22,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,12.22,12.22,12.22,12.22,12.22,12.22
42,9339,Weston Way,3398,3457,All,12.22,12.22,11.42,11.42,11.42,11.42,11.42,11.42,11.42,10.62,10.62,10.62,10.62,10.62,10.62,9.02
43,9339,Weston Way,3457,3675,All,6.01,4.41,4.41,4.41,4.41,5.21,5.21,5.21,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
44,9167,Foxglove Drive,0,668,All,6.01,5.01,5.01,5.21,5.41,5.41,5.41,5.41,5.61,5.41,5.41,5.41,5.41,5.41,5.41,5.41
45,16,Sarah Lane,0,515,All,6.01,4.41,4.41,4.41,4.41,5.21,5.21,5.21,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
46,17,Ash Drive,0,318,All,24.85,25.25,25.65,25.85,25.85,26.45,26.65,27.66,27.25,27.66,28.06,28.86,29.86,31.46,31.46,32.06
47,18,Monaghan Way,0,80,All,12.22,18.44,18.84,18.84,18.84,19.24,19.64,19.64,20.04,20.84,22.04,22.04,22.04,22.85,23.65,23.65
48,1035,Cousins Avenue East,0,61,All,6.01,2.81,2.81,2.81,2.81,2.81,2.81,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
49,19,Elm Close,0,82,All,6.01,8.62,9.02,9.02,9.02,9.02,9.02,9.02,9.42,11.42,14.03,14.43,14.83,15.23,16.03,16.43
50,19,Elm Close,82,101,All,24.85,24.85,25.05,25.45,25.05,25.25,25.85,25.85,26.25,26.85,27.05,27.25,27.66,27.86,27.86,28.86
51,20,Burkes Creek Road,0,21,All,12.22,16.83,16.83,16.03,16.03,16.03,16.43,16.43,16.43,16.83,16.83,16.83,16.83,16.83,17.23,16.83
52,20,Burkes Creek Road,21,520,All,12.22,16.83,16.83,16.03,16.03,16.03,16.43,16.43,16.43,16.83,16.83,16.83,16.83,16.83,17.23,16.83
53,20,Burkes Creek Road,549,697,All,12.22,15.23,15.23,14.83,14.83,14.83,14.83,14.83,15.23,15.23,15.23,15.23,15.23,14.83,14.83,14.83
54,20,Burkes Creek Road,697,765,All,6.01,5.81,6.01,6.21,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.21,6.21,6.21,6.41,6.81
55,20,Burkes Creek Road,765,1789,All,12.22,15.23,15.23,14.83,14.83,14.83,14.83,14.83,15.23,15.23,15.23,15.23,15.23,14.83,14.83,14.83
56,21,Tapeka Heights Lane,0,277,All,12.22,13.03,12.63,12.42,12.42,12.63,12.63,12.63,12.63,12.42,12.02,12.02,12.02,11.82,11.82,11.62
57,22,Sir John McKenzie Drive,0,530,All,12.22,17.64,17.64,17.64,17.64,17.64,17.64,17.64,17.64,18.44,18.44,18.44,18.44,18.44,19.24,20.04
58,23,Apple Orchard Lane,0,185,All,6.01,2,1.8,1.8,1.8,1.6,1.4,1.4,1.4,1.4,1.4,1.2,1,1,1,1
