elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,49.3,57.92,0,0,0,0,0,0,0,0,0,0,52.91,59.32,68.94,68.74,0,0,0,0,0
1,1,Conifer Close,0,378,All,40.28,50.1,65.33,0,0,0,0,0,0,0,0,56.11,60.32,67.74,75.95,82.36,0,0,0,0,0
2,2,Fladgate Drive,0,565,All,45.49,52.1,0,0,0,0,0,0,0,0,0,56.11,59.52,67.33,75.15,81.16,0,0,0,0,0
3,4,Highfield Drive,0,71,All,0,35.67,0,0,0,0,0,0,0,0,0,56.11,56.11,64.93,73.35,78.76,0,0,0,0,0
4,3,Matai Way,0,557,All,52.71,62.32,0,0,0,0,0,0,0,0,0,56.11,56.71,65.33,73.75,80.36,0,0,0,0,0
5,5,Vintry Drive,0,362,All,60.72,67.54,0,0,0,0,0,0,0,0,0,56.11,59.12,66.93,74.95,80.96,0,0,0,0,0
6,6,Croatia Avenue,0,42,All,0,20.64,52.91,66.53,77.15,0,0,0,0,0,0,0,0,0,56.11,57.52,0,0,0,0,0
7,6,Croatia Avenue,42,76,All,0,34.47,48.7,58.72,74.15,85.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,Lumbarda Drive,0,152,All,0,0,0,49.9,59.52,70.94,66.93,63.33,67.33,70.94,68.94,80.76,78.76,0,0,0,0,0,0,0,0
9,8,Tarras Road,0,86,All,0,21.64,35.67,41.88,63.33,79.56,83.17,82.77,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,21.64,35.67,41.88,53.71,70.14,68.54,81.16,79.56,0,0,0,0,0,0,0,0,0,0,0,0
11,9,Kowhai Glen,0,305,All,43.49,50.5,58.72,63.53,0,0,0,0,0,0,0,49.9,47.49,51.3,52.91,54.51,0,0,0,0,0
12,1037,Epiha Road Upper,0,415,All,49.1,58.12,66.93,74.15,0,0,0,0,0,62.32,64.93,71.34,72.14,83.97,0,0,0,0,0,0,0
13,1038,Gossey Drive North,1319,1723,All,0,48.3,63.73,70.54,0,0,0,0,0,62.32,65.33,71.74,72.55,84.37,0,0,0,0,0,0,0
14,10,Upper Ahu Ahu Road,0,46,All,46.49,0,0,0,0,0,0,0,0,0,59.12,63.13,63.93,70.34,77.56,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,0,44.29,55.71,69.14,77.76,0,0,0,0,0,0,0,0,0,49.9,47.49,0,0,0,0,0
16,11,Lower Ahu Ahu Road,0,158,All,43.49,51.5,60.12,73.95,0,0,0,0,0,0,0,0,0,56.11,66.13,65.73,0,0,0,0,0
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,65.33,64.93,61.52,63.13,66.73,68.34,80.36,79.16,0,0,0,0,0,0,0,0
18,12,Kriletich Drive,0,263,All,47.09,54.31,64.93,0,0,0,0,0,0,56.11,54.71,53.91,62.93,72.34,81.16,88.78,0,0,0,0,0
19,917,Port Street East,0,21,All,41.88,45.69,50.7,59.12,73.35,84.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,917,Port Street East,21,396,All,41.88,27.45,35.27,40.28,52.51,63.33,65.13,61.32,62.73,61.52,75.75,79.36,77.15,0,0,0,0,0,0,0,0
21,917,Port Street East,396,874,All,48.3,56.31,0,0,0,0,0,0,0,0,0,0,0,0,56.11,56.11,0,0,0,0,0
22,917,Port Street East,874,1340,All,46.29,58.72,0,0,0,0,0,0,0,0,0,0,0,0,56.11,56.71,0,0,0,0,0
23,917,Port Street East,1340,1431,All,44.29,57.52,0,0,0,0,0,0,0,0,0,0,0,0,56.11,55.31,0,0,0,0,0
24,917,Port Street East,1431,2115,All,43.49,57.72,69.54,0,0,0,0,0,0,0,0,0,0,0,0,49.9,0,0,0,0,0
25,917,Port Street East,2120,2350,All,0,55.31,67.74,0,0,0,0,0,0,0,0,0,0,0,0,49.9,0,0,0,0,0
26,13,Puriri Dale Way,0,293,All,43.49,51.1,0,0,0,0,0,0,0,0,59.12,67.74,67.74,76.35,82.77,88.18,0,0,0,0,0
27,15,Fendall Close,0,438,All,42.48,59.52,69.34,0,0,0,0,0,65.33,69.14,75.15,84.97,0,0,0,0,0,0,0,0,0
28,15,Fendall Close,438,585,All,40.28,26.85,44.29,62.73,0,0,0,0,0,0,59.12,62.32,63.73,82.77,0,0,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,40.28,50.9,60.92,72.14,67.33,63.53,67.54,74.55,77.76,80.96,0,0,0,0,0,0,0,0,0
30,15,Fendall Close,643,736,All,45.09,52.51,65.53,75.55,0,0,0,0,65.33,69.74,75.55,75.95,81.56,0,0,0,0,0,0,0,0
31,15,Fendall Close,736,814,All,40.28,0,0,0,0,74.95,75.95,77.56,74.55,80.36,0,0,0,0,56.11,62.12,0,0,0,0,0
32,9339,Weston Way,814,886,All,40.28,42.69,52.3,0,0,0,0,0,65.33,70.54,75.95,0,0,0,49.9,49.1,0,0,0,0,0
33,9339,Weston Way,886,939,All,0,28.26,45.49,65.73,0,0,0,59.12,62.32,66.13,69.34,77.15,76.35,81.16,0,43.49,0,0,0,0,0
34,9339,Weston Way,965,1051,All,0,27.86,39.88,54.91,69.74,82.77,86.37,0,0,0,0,0,0,0,0,49.9,0,0,0,0,0
35,9339,Weston Way,1051,1219,All,0,45.09,0,0,0,0,71.74,68.94,73.35,75.55,81.16,0,0,0,0,49.9,0,0,0,0,0
36,9339,Weston Way,1237,1589,All,40.28,0,0,0,0,74.95,76.35,77.96,74.95,81.16,0,0,0,0,56.11,71.74,0,0,0,0,0
37,9339,Weston Way,1589,1999,All,40.28,0,0,0,0,74.95,76.75,78.36,75.55,81.56,0,0,0,0,56.11,72.14,0,0,0,0,0
38,9339,Weston Way,1999,2369,All,40.28,0,0,0,0,0,71.74,67.74,72.55,79.56,0,0,0,0,56.11,60.72,0,0,0,0,0
39,9339,Weston Way,2385,2696,All,44.69,0,0,0,0,0,0,63.73,69.34,72.55,76.35,77.96,81.96,0,0,0,0,0,0,0,0
40,9339,Weston Way,2696,3114,All,43.89,0,0,0,0,0,71.74,68.54,72.95,79.96,0,0,0,0,56.11,60.32,0,0,0,0,0
41,9339,Weston Way,3114,3398,All,40.28,51.3,59.72,0,0,0,0,0,0,62.32,63.73,69.34,70.54,77.96,88.18,0,0,0,0,0,0
42,9339,Weston Way,3398,3457,All,0,52.91,60.92,66.33,0,0,0,0,0,0,52.91,51.3,48.3,52.1,54.11,57.92,0,0,0,0,0
43,9339,Weston Way,3457,3675,All,39.08,29.06,43.09,65.13,75.15,86.17,0,0,0,0,0,0,0,0,49.9,46.69,0,0,0,0,0
44,9167,Foxglove Drive,0,668,All,41.88,27.45,35.27,40.28,52.51,63.33,82.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,16,Sarah Lane,0,515,All,47.29,58.52,68.34,74.75,0,0,0,0,0,0,0,0,52.91,60.72,70.14,70.54,0,0,0,0,0
46,17,Ash Drive,0,318,All,39.08,29.06,43.49,52.1,63.73,80.76,84.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,18,Monaghan Way,0,80,All,0,0,0,49.9,59.12,69.34,65.33,61.92,76.35,76.75,78.36,0,0,0,0,0,0,0,0,0,0
48,1035,Cousins Avenue East,0,61,All,0,32.46,47.09,57.92,72.95,85.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,19,Elm Close,0,82,All,48.3,50.7,45.09,54.71,69.34,80.96,85.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,19,Elm Close,82,101,All,0,24.85,37.88,53.11,71.34,82.57,85.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,20,Burkes Creek Road,0,21,All,0,48.7,63.93,71.14,78.36,0,0,0,0,0,59.12,65.33,70.14,75.55,88.58,0,0,0,0,0,0
52,20,Burkes Creek Road,21,520,All,0,49.1,64.53,71.74,0,0,0,0,0,62.32,65.73,72.14,72.95,85.97,0,0,0,0,0,0,0
53,20,Burkes Creek Road,549,697,All,47.9,56.71,66.13,0,0,0,0,0,65.33,66.93,71.14,73.55,80.76,0,0,0,0,0,0,0,0
54,20,Burkes Creek Road,697,765,All,40.28,29.26,43.29,55.31,69.54,81.16,85.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,20,Burkes Creek Road,765,1789,All,48.3,57.11,66.53,0,0,0,0,0,65.33,67.13,71.34,74.75,80.96,0,0,0,0,0,0,0,0
56,21,Tapeka Heights Lane,0,277,All,0,43.49,56.11,64.53,0,0,0,0,0,0,0,56.11,62.32,70.14,79.56,85.97,0,0,0,0,0
57,22,Sir John McKenzie Drive,0,530,All,45.89,29.66,62.73,68.74,0,0,0,0,0,0,0,0,0,56.11,66.33,66.13,0,0,0,0,0
58,23,Apple Orchard Lane,0,185,All,42.89,50.3,59.12,0,0,0,0,0,0,0,52.91,52.1,49.1,52.51,61.92,62.93,0,0,0,0,0
59,974,Railway Terrace East,0,730,All,0,19.04,34.07,40.48,53.11,79.36,82.97,82.57,0,0,0,0,0,0,0,0,0,0,0,0,0
60,24,George Noble Road,0,272,All,47.9,56.91,66.33,75.15,0,0,0,0,0,0,0,0,52.91,62.53,71.74,77.96,0,0,0,0,0
61,24,George Noble Road,272,286,All,0,26.25,38.68,43.49,62.32,76.35,77.96,79.96,77.15,77.15,78.76,0,0,0,0,0,0,0,0,0,0
62,25,Founders Lane,0,597,All,0,0,0,0,56.11,70.54,67.74,65.33,70.14,73.35,77.15,78.76,77.56,0,49.9,61.92,0,0,0,0,0
63,26,Stud Road,0,205,All,0,26.65,44.69,54.11,70.14,83.57,0,0,0,0,0,0,52.91,61.52,71.34,77.56,0,0,0,0,0
64,27,Gallop Lane,0,116,All,0,24.05,54.51,68.14,0,0,0,0,0,0,0,0,0,56.11,64.53,64.53,0,0,0,0,0
65,27,Gallop Lane,116,136,All,42.69,28.66,39.28,40.68,52.91,72.55,68.14,64.73,68.74,71.14,68.74,80.16,78.56,0,0,0,0,0,0,0,0
66,7056,Dawick Street,0,78,All,0,23.25,53.71,66.93,0,0,0,0,0,0,0,0,0,56.11,63.73,63.73,0,0,0,0,0
67,7056,Dawick Street,78,88,All,51.5,59.72,67.13,73.15,77.96,87.78,88.98,86.97,86.97,81.96,82.16,85.17,85.57,0,0,0,0,0,0,0,0
68,28,Stirrup Lane,0,261,All,0,46.69,57.52,72.95,0,0,0,0,0,0,0,0,52.91,62.93,72.55,79.16,0,0,0,0,0
69,29,Riroriro Road,0,122,All,45.09,52.3,60.52,74.55,0,0,0,0,0,0,0,0,0,56.11,65.33,65.33,0,0,0,0,0
70,29,Riroriro Road,122,139,All,0,22.44,36.87,42.28,58.32,71.34,69.34,81.96,79.96,0,0,0,0,0,0,0,0,0,0,0,0
71,30,Curly McLeod Way,0,69,All,49.9,0,0,0,0,0,0,0,0,0,0,56.11,57.92,66.13,74.15,79.56,0,0,0,0,0
72,30,Curly McLeod Way,69,82,All,44.69,51.9,59.92,65.33,77.35,0,0,0,0,0,0,0,0,0,0,43.49,0,0,0,0,0
73,32,Karearea Lane,0,56,All,46.89,56.51,66.73,0,0,0,0,0,0,0,0,0,0,49.9,51.7,48.3,0,0,0,0,0
74,32,Karearea Lane,84,154,All,44.29,0,0,0,0,0,0,0,0,56.11,53.91,53.11,49.3,52.71,65.53,67.54,0,0,0,0,0
75,32,Karearea Lane,154,820,All,60.32,0,0,0,0,0,0,0,0,62.32,62.93,68.54,68.54,77.15,81.96,86.77,0,0,0,0,0
76,32,Karearea Lane,820,1262,All,0,19.24,34.47,52.91,70.94,81.96,85.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,33,Okoare Lane,0,58,All,0,24.65,37.47,42.89,58.92,72.34,75.35,80.56,77.76,78.56,0,0,0,0,0,0,0,0,0,0,0
78,35,Leicester Place,0,660,All,0,0,0,49.9,61.72,75.75,77.56,79.16,76.95,77.56,0,49.9,57.52,78.76,87.37,91.18,0,0,0,0,0
79,36,Paneika Lane,0,370,All,0,0,0,49.9,60.72,73.35,74.15,70.14,70.94,74.95,77.56,79.56,77.96,0,49.9,67.33,0,0,0,0,0
80,36,Paneika Lane,370,391,All,0,39.08,52.1,62.32,75.95,87.58,0,0,0,0,0,0,0,0,56.11,59.92,0,0,0,0,0
81,36,Paneika Lane,391,520,All,0,0,40.28,51.7,62.53,75.95,77.15,70.94,75.95,76.35,78.56,0,0,49.9,62.32,81.76,0,0,0,0,0
82,37,Freemason Avenue,0,149,All,0,53.31,61.52,67.74,0,0,0,0,0,0,0,0,0,56.11,66.93,66.53,0,0,0,0,0
83,37,Freemason Avenue,149,172,All,0,0,0,0,0,65.33,64.53,60.72,61.52,61.12,55.71,61.92,70.94,79.16,85.17,0,0,0,0,0,0
84,37,Freemason Avenue,172,362,All,45.89,58.32,70.14,76.35,0,0,0,0,0,0,0,56.11,61.52,68.94,78.76,84.77,0,0,0,0,0
85,38,Tyler Place,0,279,All,41.88,51.7,61.72,0,0,0,0,0,0,0,0,56.11,61.12,68.54,78.36,84.37,0,0,0,0,0
86,38,Tyler Place,279,322,All,47.9,58.92,70.54,77.15,82.97,0,0,0,0,0,0,0,0,0,56.11,59.12,0,0,0,0,0
87,38,Tyler Place,322,334,All,50.5,56.11,55.11,56.91,71.54,86.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,38,Tyler Place,334,389,All,0,40.28,0,0,0,0,0,0,0,0,59.12,66.93,66.93,75.15,82.36,87.58,0,0,0,0,0
89,39,Ashlar Court,0,251,All,40.28,44.49,0,0,0,0,0,0,0,0,0,56.11,59.92,67.54,77.35,81.96,0,0,0,0,0
90,40,Bravery Road,0,278,All,41.28,49.9,59.32,73.75,79.96,0,0,0,0,0,0,0,46.69,50.5,53.71,61.52,0,0,0,0,0
91,41,Huamanu Street,0,116,All,0,34.87,49.1,59.52,74.55,86.37,0,0,0,0,0,0,0,0,0,43.49,0,0,0,0,0
92,41,Huamanu Street,116,134,All,0,0,0,49.9,59.92,71.74,67.54,64.93,69.74,72.75,77.96,81.16,0,0,0,0,0,0,0,0,0
93,1092,Bronte Road East,0,156,All,0,31.66,0,0,0,0,0,0,0,0,0,0,52.91,59.12,68.54,68.14,0,0,0,0,0
94,1092,Bronte Road East,156,183,All,0,31.66,46.69,57.52,72.55,84.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,42,Te Manaki Street,0,377,All,41.88,47.9,55.31,63.33,0,0,0,0,0,0,0,0,0,56.11,67.13,66.93,0,0,0,0,0
96,44,Dickins Lane,0,474,All,0,0,40.28,51.3,61.52,73.75,74.95,79.56,78.36,77.96,0,0,0,0,0,0,0,0,0,0,0
97,44,Dickins Lane,474,1091,All,0,0,0,0,56.11,68.54,66.13,62.32,68.54,71.74,70.94,76.35,75.55,80.36,0,0,0,0,0,0,0
98,43,Infantry Lane,0,95,All,0,33.67,47.9,58.32,73.75,85.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,45,Chatfield Lane,0,83,All,0,23.45,37.27,42.69,58.72,71.94,81.96,80.36,77.56,78.36,0,0,0,0,0,0,0,0,0,0,0
100,20,Burkes Creek Road,765,1789,All,0,38.48,51.3,61.92,0,0,0,0,0,62.32,64.53,70.94,71.74,83.57,0,0,0,0,0,0,0
101,38,Tyler Place,279,322,All,83.57,83.97,86.37,88.18,89.18,0,0,0,0,0,0,0,0,0,56.11,59.12,0,0,0,0,0
102,1037,Epiha Road Upper,0,415,All,58.52,65.13,74.15,0,0,0,0,0,65.33,67.33,71.54,74.95,81.16,0,0,0,0,0,0,0,0
103,37,Freemason Avenue,172,362,All,72.14,79.56,87.58,90.78,0,65.33,81.16,84.37,90.58,90.58,90.58,94.59,95.79,100,100,0,0,0,0,0,0
104,43,Infantry Lane,0,95,All,98.2,98,98.2,98,97.8,0,62.32,74.95,81.16,87.58,87.58,87.58,87.58,93.79,93.79,99.4,0,0,0,0,0
105,8,Tarras Road,86,120,All,0,21.64,35.67,41.88,53.71,70.14,68.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,23,Apple Orchard Lane,0,185,All,88.98,89.18,90.38,0,56.11,77.96,87.58,90.58,93.79,93.79,95.39,95.39,96.99,95.39,0,43.49,0,0,0,0,0
107,9339,Weston Way,814,886,All,87.98,91.38,92.59,0,56.11,77.96,87.58,90.58,94.19,95.79,96.19,0,0,0,0,0,0,0,0,0,0
108,8,Tarras Road,86,120,All,0,21.64,35.67,41.88,53.71,70.14,68.54,81.16,79.56,0,0,0,0,0,0,0,0,0,0,0,0
109,38,Tyler Place,334,389,All,97.39,97.19,0,49.9,68.54,90.58,93.79,93.79,96.99,96.99,99.4,100,100,0,49.9,74.95,0,0,0,0,0
110,38,Tyler Place,322,334,All,52.1,59.12,65.13,63.13,75.35,87.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,32,Karearea Lane,154,820,All,0,37.68,0,0,0,0,0,0,0,0,59.12,64.13,64.93,71.34,80.36,83.97,0,0,0,0,0
112,12,Kriletich Drive,0,263,All,0,40.08,52.71,62.93,0,0,0,0,0,0,52.91,52.91,50.1,64.13,76.35,82.77,0,0,0,0,0
113,917,Port Street East,2120,2350,All,95.19,95.99,0,49.9,68.54,90.58,93.79,93.79,96.99,96.99,96.99,96.99,95.39,0,49.9,74.95,0,0,0,0,0
114,9339,Weston Way,3398,3457,All,0,52.71,60.72,66.13,0,0,0,0,0,0,52.91,51.3,48.3,52.1,54.11,57.92,0,0,0,0,0
115,9339,Weston Way,1051,1219,All,98,0,40.28,53.31,76.75,94.39,95.79,95.99,0,56.11,74.95,82.77,85.17,90.18,92.79,0,0,0,0,0,0
116,19,Elm Close,0,82,All,51.9,59.32,65.73,63.93,71.74,84.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,15,Fendall Close,0,438,All,93.99,0,0,0,0,0,71.74,66.93,71.94,78.76,0,0,0,0,0,49.9,0,0,0,0,0
118,30,Curly McLeod Way,69,82,All,70.54,75.75,81.56,84.77,87.17,0,62.32,74.95,81.16,87.58,87.58,87.58,87.58,93.79,93.79,96.99,0,0,0,0,0
119,6,Croatia Avenue,0,42,All,45.69,29.46,60.32,74.35,78.76,0,0,0,0,0,0,0,0,0,56.11,57.52,0,0,0,0,0
120,16,Sarah Lane,0,515,All,0,53.71,61.92,69.34,0,0,0,0,0,0,0,0,52.91,60.72,70.14,70.54,0,0,0,0,0
121,30,Curly McLeod Way,69,82,All,67.54,76.15,83.17,87.78,90.38,0,0,0,0,56.11,55.11,62.12,69.74,84.57,88.98,91.38,0,0,0,0,0
122,32,Karearea Lane,820,1262,All,0,19.24,34.47,52.91,70.94,81.96,85.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,20,Burkes Creek Road,765,1789,All,93.39,0,0,0,0,0,71.74,66.13,71.34,74.15,80.36,0,0,0,0,0,0,0,0,0,0
124,32,Karearea Lane,154,820,All,57.92,65.33,0,0,0,0,0,0,0,0,59.12,64.13,64.93,71.34,80.36,83.97,0,0,0,0,0
125,9339,Weston Way,1237,1589,All,50.1,0,0,0,0,74.95,76.35,77.96,74.95,81.16,0,0,0,0,56.11,71.74,0,0,0,0,0
126,20,Burkes Creek Road,765,1789,All,73.95,0,0,0,0,0,71.74,66.13,71.34,74.15,80.36,0,0,0,0,0,0,0,0,0,0
127,29,Riroriro Road,122,139,All,0,22.44,36.87,42.28,58.32,71.34,69.34,81.96,79.96,0,0,0,0,0,0,0,0,0,0,0,0
128,9339,Weston Way,1589,1999,All,0,46.29,0,0,0,0,71.74,70.54,74.15,75.95,81.56,0,0,0,0,49.9,0,0,0,0,0
129,20,Burkes Creek Road,549,697,All,0,37.88,50.9,61.52,0,0,0,0,0,62.32,64.13,70.54,71.34,83.17,0,0,0,0,0,0,0
130,1092,Bronte Road East,156,183,All,77.56,80.16,84.57,86.97,88.98,0,62.32,74.95,81.16,87.58,87.58,87.58,87.58,93.79,93.79,96.99,0,0,0,0,0
131,917,Port Street East,2120,2350,All,0,55.31,67.74,0,0,0,0,0,0,0,0,0,0,0,0,49.9,0,0,0,0,0
132,1,Conifer Close,0,378,All,65.13,0,0,0,0,0,0,0,0,62.32,64.33,69.74,69.34,78.16,83.97,90.38,0,0,0,0,0
133,20,Burkes Creek Road,549,697,All,64.93,0,0,0,0,0,71.74,65.73,71.14,73.75,79.96,0,0,0,0,0,0,0,0,0,0
134,9339,Weston Way,2696,3114,All,0,41.08,0,0,0,0,0,63.73,69.54,73.15,79.56,0,0,0,0,49.9,0,0,0,0,0
135,21,Tapeka Heights Lane,0,277,All,0,43.49,56.11,64.53,0,0,0,0,0,0,0,56.11,62.32,70.14,79.56,85.97,0,0,0,0,0
136,10,Upper Ahu Ahu Road,46,68,All,85.77,88.78,91.58,93.19,93.39,0,62.32,74.95,81.16,87.58,87.58,87.58,87.58,93.79,93.79,96.99,0,0,0,0,0
137,26,Stud Road,0,205,All,0,26.65,44.69,54.11,70.14,83.57,0,0,0,0,0,0,52.91,61.52,71.34,77.56,0,0,0,0,0
138,1038,Gossey Drive North,1319,1723,All,86.57,0,40.28,56.11,81.16,95.39,96.99,97.19,0,56.11,74.95,82.77,84.37,89.38,91.98,0,0,0,0,0,0
139,917,Port Street East,21,396,All,81.76,81.76,88.58,95.59,96.39,98.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,11,Lower Ahu Ahu Road,158,179,All,57.52,64.73,72.75,78.96,83.17,94.19,90.38,88.18,91.18,89.18,83.37,0,0,0,0,0,0,0,0,0,0
141,1037,Epiha Road Upper,0,415,All,0,48.1,63.33,70.34,0,0,0,0,0,62.32,64.93,71.34,72.14,83.97,0,0,0,0,0,0,0
142,41,Huamanu Street,0,116,All,46.69,60.52,71.54,0,0,0,0,0,0,0,0,0,0,49.9,52.1,48.5,0,0,0,0,0
143,41,Huamanu Street,0,116,All,55.91,64.93,73.75,79.96,84.77,0,62.32,74.95,81.16,87.58,87.58,87.58,87.58,93.79,93.79,96.99,0,0,0,0,0
144,16,Sarah Lane,0,515,All,0,53.71,61.92,69.34,0,0,0,0,0,0,0,0,52.91,60.72,70.14,70.54,0,0,0,0,0
145,36,Paneika Lane,370,391,All,0,39.08,52.1,62.32,75.95,87.58,0,0,0,0,0,0,0,0,56.11,59.92,0,0,0,0,0
146,9339,Weston Way,1999,2369,All,0,0,0,0,0,0,71.74,67.74,0,0,0,0,52.91,61.92,76.75,0,0,0,0,0,0
147,1092,Bronte Road East,0,156,All,0,31.66,0,0,0,0,0,0,0,0,0,0,52.91,59.12,68.54,68.14,0,0,0,0,0
