elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,49.3,51.3,53.51,56.31,57.52,61.12,62.32,0,0,0,0,0,0,0,0,0,0,31.06,32.46,34.87,34.87
1,1,Conifer Close,0,378,All,40.28,42.69,51.7,53.91,55.31,60.32,0,0,0,0,0,0,0,0,43.49,50.1,50.5,53.11,54.31,54.51,61.32
2,2,Fladgate Drive,0,565,All,45.49,45.29,45.69,44.89,48.3,56.31,60.32,0,0,0,0,0,0,0,0,37.27,40.88,39.88,42.08,46.89,48.5
3,4,Highfield Drive,0,71,All,0,27.45,30.86,34.47,39.68,49.5,55.11,0,0,0,0,0,0,0,0,0,37.27,34.47,38.28,38.68,44.29
4,3,Matai Way,0,557,All,52.71,56.31,58.52,60.92,61.92,66.13,67.54,0,0,0,0,0,0,0,0,0,37.27,35.27,39.08,39.28,45.09
5,5,Vintry Drive,0,362,All,60.72,62.53,63.53,64.93,65.93,68.94,0,0,0,0,0,0,0,0,0,37.27,42.28,41.08,47.09,48.7,49.9
6,6,Croatia Avenue,0,42,All,0,12.42,36.07,46.29,47.09,53.91,56.91,0,0,0,0,0,0,0,0,0,37.27,33.87,37.07,38.08,43.49
7,6,Croatia Avenue,42,76,All,0,26.25,29.46,32.87,38.28,47.9,53.71,60.72,66.13,73.35,75.95,76.35,78.36,79.56,73.75,74.55,76.35,79.16,86.37,88.98,89.38
8,7,Lumbarda Drive,0,152,All,0,0,0,23.25,27.05,34.87,36.47,42.69,47.9,56.11,57.52,67.33,64.53,60.72,62.93,66.93,66.93,0,23.25,31.86,50.7
9,8,Tarras Road,0,86,All,0,13.63,17.64,20.04,30.26,40.28,47.49,55.71,0,0,0,0,0,0,0,0,0,31.06,31.66,34.47,34.47
10,8,Tarras Road,86,120,All,0,13.63,17.64,20.04,23.25,34.07,37.88,53.71,60.72,66.53,67.74,70.94,72.55,70.14,0,32.46,47.9,63.13,0,0,24.85
11,9,Kowhai Glen,0,305,All,43.49,43.09,43.89,42.08,44.49,51.9,56.31,61.72,0,0,0,0,0,0,0,32.46,31.26,25.85,25.05,28.66,33.27
12,1037,Epiha Road Upper,0,415,All,49.1,51.7,53.71,56.11,0,0,0,0,0,49.9,54.11,52.91,58.32,67.74,0,0,0,0,0,24.85,36.07
13,1038,Gossey Drive North,1319,1723,All,0,40.68,49.9,51.3,0,0,0,0,0,49.9,54.51,53.31,58.72,68.14,0,0,0,0,0,24.85,36.47
14,10,Upper Ahu Ahu Road,0,46,All,46.49,0,0,0,0,0,0,0,0,0,51.3,49.1,52.3,54.51,58.92,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,0,36.47,40.68,49.3,51.1,54.51,58.12,63.53,67.54,74.55,77.35,77.56,0,0,35.67,34.27,65.93,66.93,0,0,0
16,11,Lower Ahu Ahu Road,0,158,All,43.49,44.29,45.49,55.91,55.11,57.92,60.92,65.53,0,0,0,0,0,0,0,0,0,31.06,33.67,36.47,42.28
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,31.06,34.47,41.08,44.69,52.91,57.11,67.13,64.93,61.32,63.33,67.74,68.14,68.74,70.54,71.34,67.13
18,12,Kriletich Drive,0,263,All,47.09,47.7,51.1,54.91,57.31,61.52,63.53,66.13,0,0,0,0,0,43.49,38.08,35.07,39.48,42.89,46.89,53.31,52.1
19,917,Port Street East,0,21,All,41.88,38.08,32.87,33.27,36.87,45.29,0,0,0,0,0,0,0,0,0,0,0,0,27.86,29.86,31.06
20,917,Port Street East,21,396,All,41.88,19.24,16.83,18.84,22.44,30.26,34.67,40.88,44.29,49.3,63.33,65.53,62.73,0,0,0,0,0,0,0,0
21,917,Port Street East,396,874,All,48.3,49.7,48.9,49.5,51.9,0,0,0,0,0,0,0,0,0,0,0,0,31.06,30.66,33.67,46.29
22,917,Port Street East,874,1340,All,46.29,52.3,56.11,58.72,59.92,0,0,0,0,0,0,0,0,0,0,0,0,31.06,31.06,33.87,46.49
23,917,Port Street East,1340,1431,All,44.29,50.9,0,0,0,0,0,0,0,0,0,0,0,0,43.49,42.69,45.09,56.11,66.93,0,0
24,917,Port Street East,1431,2115,All,43.49,51.1,56.71,58.12,58.12,61.32,0,0,0,0,0,0,0,0,0,0,0,0,27.86,29.06,30.46
25,917,Port Street East,2120,2350,All,0,48.3,54.51,57.11,56.71,0,0,0,0,0,0,0,0,0,0,0,0,31.06,30.26,32.87,32.87
26,13,Puriri Dale Way,0,293,All,43.49,43.89,45.09,44.49,51.7,58.92,62.93,0,0,0,0,0,0,0,43.49,48.3,49.9,46.29,53.71,53.71,51.7
27,15,Fendall Close,0,438,All,42.48,53.11,56.51,58.52,59.72,0,0,0,0,0,51.3,50.7,56.51,66.73,0,0,0,0,27.86,32.06,38.08
28,15,Fendall Close,438,585,All,40.28,18.64,24.45,39.88,0,0,0,0,0,0,51.3,48.3,52.1,66.13,0,0,0,0,0,0,26.25
29,15,Fendall Close,585,643,All,0,0,22.44,24.85,28.26,36.27,36.87,43.09,48.1,61.12,65.93,67.74,0,0,0,0,0,24.85,24.65,24.25,25.45
30,15,Fendall Close,643,736,All,45.09,45.89,52.1,59.12,0,0,0,0,46.69,54.91,62.93,62.53,73.35,0,0,0,0,31.06,35.27,44.69,47.49
31,15,Fendall Close,736,814,All,40.28,34.47,33.27,35.67,0,0,0,0,46.69,55.51,63.53,63.93,73.75,0,0,0,0,31.06,35.67,45.09,47.7
32,9339,Weston Way,814,886,All,40.28,35.07,34.87,36.87,41.28,50.7,54.71,60.92,65.73,72.34,75.35,75.15,77.56,72.95,72.95,72.34,74.35,76.95,0,58.12,55.51
33,9339,Weston Way,886,939,All,0,20.04,25.45,45.09,54.11,62.32,66.13,69.34,72.55,79.56,82.36,83.57,87.58,88.18,88.98,90.58,0,24.85,45.09,66.93,67.74
34,9339,Weston Way,965,1051,All,0,19.64,21.64,29.06,32.46,43.49,55.31,0,0,46.69,49.5,52.1,61.92,60.32,64.93,0,31.06,49.9,62.32,70.14,70.94
35,9339,Weston Way,1051,1219,All,0,37.88,0,0,0,0,40.28,47.49,55.31,62.32,72.55,0,0,0,0,37.27,53.71,52.1,54.51,62.93,0
36,9339,Weston Way,1237,1589,All,40.28,44.49,0,0,0,0,40.28,49.1,55.71,62.93,72.95,0,0,0,0,37.27,54.11,53.71,56.11,63.73,63.33
37,9339,Weston Way,1589,1999,All,40.28,44.69,49.1,0,0,0,0,43.49,51.5,60.12,64.33,73.75,0,0,0,0,37.27,46.69,48.7,52.51,61.12
38,9339,Weston Way,1999,2369,All,40.28,43.69,0,0,0,0,0,43.49,50.1,59.12,70.54,0,0,0,0,37.27,43.49,50.9,49.9,60.72,0
39,9339,Weston Way,2385,2696,All,44.69,51.5,53.91,0,0,0,0,0,0,49.9,55.31,51.3,57.92,56.91,65.73,0,0,0,0,0,0
40,9339,Weston Way,2696,3114,All,43.89,0,0,0,0,0,40.28,47.09,54.91,71.74,0,0,0,0,43.49,49.1,54.91,54.51,64.93,0,0
41,9339,Weston Way,3114,3398,All,40.28,44.09,44.89,44.29,47.29,0,0,0,0,0,0,46.69,50.7,53.91,58.72,60.72,66.13,0,0,0,0
42,9339,Weston Way,3398,3457,All,0,46.29,46.69,46.09,49.3,0,0,0,0,0,0,43.49,45.49,45.89,38.48,35.27,41.28,41.48,55.31,61.92,0
43,9339,Weston Way,3457,3675,All,39.08,20.84,23.25,44.09,42.28,48.3,51.5,58.72,64.13,69.54,71.94,74.35,76.95,71.74,69.14,71.94,74.15,72.14,74.35,73.15,73.75
44,9167,Foxglove Drive,0,668,All,41.88,19.24,16.83,18.84,22.44,30.26,47.09,55.31,61.12,0,0,0,0,0,0,0,0,0,0,0,0
45,16,Sarah Lane,0,515,All,47.29,52.1,55.31,57.52,58.92,63.33,64.33,0,0,0,0,0,0,0,0,37.27,41.88,40.68,42.69,47.9,49.5
46,17,Ash Drive,0,318,All,39.08,20.84,23.65,26.05,30.66,41.48,48.5,0,0,0,0,0,0,49.9,50.9,57.92,59.12,60.72,69.34,0,0
47,18,Monaghan Way,0,80,All,0,0,0,23.25,26.65,33.27,34.87,41.48,57.52,64.13,66.53,0,0,0,0,0,0,0,0,0,0
48,1035,Cousins Avenue East,0,61,All,0,24.45,27.86,31.26,36.47,46.29,52.51,59.92,65.33,70.94,74.95,74.95,77.15,72.55,73.35,73.35,75.15,77.56,79.96,85.97,87.58
49,19,Elm Close,0,82,All,48.3,43.29,25.25,28.66,32.06,41.68,49.9,0,0,0,0,0,0,0,0,0,37.27,36.07,40.28,40.28,46.69
50,19,Elm Close,82,101,All,0,16.83,19.64,27.05,34.27,43.09,50.5,57.52,63.93,69.74,0,0,45.09,45.69,65.33,0,0,0,0,0,0
51,20,Burkes Creek Road,0,21,All,0,41.08,50.1,51.7,53.51,0,0,0,0,0,51.3,49.9,53.71,56.11,66.13,0,0,0,0,0,26.25
52,20,Burkes Creek Road,21,520,All,0,41.88,50.5,52.1,0,0,0,0,0,49.9,54.91,53.71,59.12,69.34,0,0,0,0,0,24.85,37.27
53,20,Burkes Creek Road,549,697,All,47.9,50.1,52.71,0,0,0,0,0,46.69,53.11,59.32,60.92,71.94,0,0,0,0,0,27.86,32.26,40.28
54,20,Burkes Creek Road,697,765,All,40.28,21.04,23.45,29.26,32.26,41.88,50.1,57.11,63.73,70.14,75.15,75.75,79.36,81.16,75.15,75.75,0,24.85,45.09,56.11,65.33
55,20,Burkes Creek Road,765,1789,All,48.3,50.5,53.11,0,0,0,0,0,46.69,53.31,59.52,61.72,72.14,0,0,0,0,0,27.86,32.46,40.48
56,21,Tapeka Heights Lane,0,277,All,0,35.67,41.88,43.49,49.9,59.92,64.53,0,0,0,0,0,0,0,43.49,50.9,51.3,57.11,56.71,54.91,52.51
57,22,Sir John McKenzie Drive,0,530,All,45.89,21.44,48.5,48.9,52.1,56.91,60.12,65.13,0,0,0,0,0,0,0,0,0,31.06,34.07,36.67,42.69
58,23,Apple Orchard Lane,0,185,All,42.89,42.89,44.29,42.69,44.89,52.71,57.11,62.53,0,0,0,0,0,0,0,32.46,31.66,26.05,25.45,29.26,33.67
59,974,Railway Terrace East,0,730,All,0,10.82,15.83,19.04,22.85,40.08,47.29,55.51,0,0,0,0,0,0,0,0,0,0,0,24.85,27.86
