elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,49.3,48.5,47.49,46.29,45.89,43.29,40.48,35.27,34.47,32.67,31.06,30.06,29.86,29.66,29.06,28.86,27.86,28.86,29.46,30.86,33.27
1,1,Conifer Close,0,378,All,40.28,39.68,45.49,43.49,42.48,42.48,41.48,39.88,37.88,38.28,38.48,38.68,39.48,40.28,40.68,41.88,42.08,43.09,44.29,44.69,45.69
2,2,Fladgate Drive,0,565,All,45.49,42.28,38.88,33.07,32.46,33.47,33.07,33.67,33.27,32.46,32.87,31.86,32.06,32.26,33.07,34.07,34.67,35.27,37.47,38.28,40.08
3,4,Highfield Drive,0,71,All,0,23.65,21.64,20.24,21.44,22.24,22.04,22.04,21.64,23.85,24.85,25.45,26.25,26.65,26.25,26.65,27.66,28.06,29.26,30.66,31.66
4,3,Matai Way,0,557,All,52.71,53.51,52.51,52.3,52.1,51.9,51.5,49.3,47.49,46.29,46.09,42.89,41.28,40.88,41.48,43.29,44.69,46.89,50.5,54.11,57.11
5,5,Vintry Drive,0,362,All,60.72,59.72,58.52,57.72,57.52,57.11,56.71,56.71,56.31,55.51,54.71,54.51,54.11,55.91,58.52,61.52,64.93,69.34,72.55,74.15,100
6,6,Croatia Avenue,0,42,All,0,8.62,27.05,35.07,31.26,27.66,24.65,23.45,20.64,19.84,20.64,20.84,20.04,19.64,19.44,19.64,19.84,19.84,20.04,20.64,21.04
7,6,Croatia Avenue,42,76,All,0,22.44,20.44,18.84,20.04,20.44,20.44,20.44,20.04,21.24,22.04,22.44,22.04,22.85,23.25,23.25,23.65,24.45,25.45,26.65,28.26
8,7,Lumbarda Drive,0,152,All,0,0,0,9.02,7.01,5.61,4.01,4.01,2.4,2.4,2,4.81,4.81,3.21,3.21,3.21,2.81,2,2,2.81,2.81
9,8,Tarras Road,0,86,All,0,9.02,7.41,5.21,10.62,10.22,10.22,10.22,10.62,11.02,11.02,11.42,11.02,10.62,10.22,11.42,11.42,12.22,13.23,13.23,13.23
10,8,Tarras Road,86,120,All,0,9.02,7.41,5.21,3.61,4.41,5.21,8.22,8.62,9.02,8.22,7.82,7.41,7.82,7.82,8.22,8.62,8.62,8.62,8.62,8.62
11,9,Kowhai Glen,0,305,All,43.49,40.08,36.87,29.46,27.25,24.65,23.85,22.24,20.44,19.44,17.84,17.84,16.63,16.83,15.83,15.83,16.03,16.03,16.03,16.03,16.83
12,1037,Epiha Road Upper,0,415,All,49.1,48.9,47.7,46.09,45.69,43.89,41.68,39.48,36.67,36.87,36.07,34.87,35.47,35.87,36.87,36.87,37.27,38.68,38.88,40.08,41.48
