elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,49.3,53.71,57.52,58.92,63.13,71.34,71.14,68.74,68.74,68.34,68.74,68.74,70.14,70.94,71.94,73.15
1,1,Conifer Close,0,378,All,40.28,44.89,55.51,56.31,60.72,70.94,72.14,72.55,72.55,72.75,74.35,75.55,77.76,79.76,80.76,82.36
2,2,Fladgate Drive,0,565,All,45.49,47.49,49.3,46.69,51.1,63.13,64.93,67.13,67.54,68.14,70.14,70.34,72.14,73.35,75.35,77.56
3,4,Highfield Drive,0,71,All,0,29.26,33.07,35.07,41.68,53.31,54.71,57.52,57.11,60.12,63.13,64.73,67.13,68.74,69.54,0
4,3,Matai Way,0,557,All,52.71,58.52,62.53,64.73,69.54,78.76,79.56,80.56,79.16,78.36,79.96,78.76,79.36,79.96,81.36,83.77
5,5,Vintry Drive,0,362,All,60.72,64.53,68.34,69.74,0,0,0,0,0,0,0,0,0,21.64,23.25,24.45
6,6,Croatia Avenue,0,42,All,0,14.23,38.08,48.5,49.9,57.72,56.91,58.72,56.11,56.11,59.52,60.72,61.32,62.32,62.93,64.53
7,6,Croatia Avenue,42,76,All,0,27.86,31.66,33.67,40.28,51.7,53.31,56.31,55.71,57.52,60.72,61.92,62.93,65.73,67.33,68.54
8,7,Lumbarda Drive,0,152,All,0,0,0,21.64,26.65,35.67,32.87,32.46,34.07,37.27,36.07,41.48,40.68,36.87,34.07,32.46
9,8,Tarras Road,0,86,All,0,15.23,18.44,18.44,29.86,41.88,43.89,45.09,44.69,47.49,47.49,49.5,50.9,52.1,53.31,56.11
10,8,Tarras Road,86,120,All,0,15.23,18.44,18.44,22.44,34.87,34.87,42.69,42.69,45.09,45.09,45.09,45.89,47.9,49.5,52.1
11,9,Kowhai Glen,0,305,All,43.49,45.29,47.29,43.29,46.49,55.11,56.31,57.72,55.91,55.71,55.91,57.92,58.12,59.52,59.72,61.12
12,1037,Epiha Road Upper,0,415,All,49.1,54.11,57.72,58.72,62.93,0,0,0,0,0,27.86,30.06,32.26,32.06,39.68,41.88
13,1038,Gossey Drive North,1319,1723,All,0,43.09,53.71,53.31,57.11,65.73,68.94,68.54,69.34,69.74,71.34,72.14,74.15,75.55,77.96,0
14,10,Upper Ahu Ahu Road,0,46,All,46.49,0,0,0,0,0,0,0,0,0,27.86,28.26,29.46,28.86,29.46,28.46
15,10,Upper Ahu Ahu Road,46,68,All,0,38.68,43.09,51.3,53.91,59.52,60.32,61.72,61.92,61.52,63.33,63.73,64.53,66.13,66.73,67.74
16,11,Lower Ahu Ahu Road,0,158,All,43.49,46.49,49.1,58.32,60.52,65.53,65.73,66.13,65.33,65.33,67.13,68.14,69.94,70.74,72.14,73.75
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,31.06,31.06,30.86,31.26,35.47,35.47,41.08,40.88,37.27,34.47,33.47
18,12,Kriletich Drive,0,263,All,47.09,49.9,55.11,57.31,62.73,71.94,72.55,70.54,69.74,68.74,68.94,68.54,69.74,70.34,69.74,69.74
19,917,Port Street East,0,21,All,41.88,40.08,34.67,33.87,38.48,48.9,50.1,52.1,52.1,51.9,53.31,53.91,55.51,56.11,58.12,60.32
20,917,Port Street East,21,396,All,41.88,20.84,17.64,17.23,21.64,30.26,31.26,30.66,30.86,29.86,39.28,39.88,38.88,35.87,33.47,30.86
21,917,Port Street East,396,874,All,48.3,51.9,52.51,51.5,54.91,61.92,61.32,60.92,58.72,58.12,59.32,58.92,60.12,59.72,60.32,61.52
22,917,Port Street East,874,1340,All,46.29,54.71,60.12,62.53,66.73,76.95,75.75,75.75,75.75,72.95,72.95,73.15,73.95,73.95,74.95,75.15
23,917,Port Street East,1340,1431,All,44.29,53.31,55.91,54.51,56.11,63.93,62.32,61.92,59.52,57.72,59.12,58.52,58.52,59.12,59.52,60.72
24,917,Port Street East,1431,2115,All,43.49,53.51,60.72,61.92,64.53,71.74,68.34,65.53,62.93,60.72,59.72,58.72,57.92,58.72,58.72,59.92
25,917,Port Street East,2120,2350,All,0,50.5,59.12,59.92,61.52,66.93,64.53,62.32,59.92,56.71,56.11,55.31,56.71,56.71,57.52,57.52
26,13,Puriri Dale Way,0,293,All,43.49,46.09,48.7,46.29,54.71,67.94,72.34,74.75,77.76,78.16,80.36,81.96,83.57,84.57,85.37,91.38
27,15,Fendall Close,0,438,All,42.48,55.51,60.52,62.32,66.53,0,0,0,0,0,27.86,30.66,32.67,40.88,43.49,44.49
28,15,Fendall Close,438,585,All,40.28,20.44,25.65,39.88,40.48,48.7,48.9,50.1,50.1,49.7,51.1,52.1,53.31,53.71,54.31,55.51
29,15,Fendall Close,585,643,All,0,0,23.25,24.05,27.86,37.07,33.27,32.87,34.47,41.28,42.08,42.08,41.08,38.48,34.67,33.27
30,15,Fendall Close,643,736,All,45.09,48.1,56.11,62.93,0,0,0,0,32.46,36.67,39.08,37.07,46.49,48.5,48.7,50.5
31,15,Fendall Close,736,814,All,40.28,36.47,35.07,36.27,42.08,52.3,52.51,54.91,53.71,53.71,54.31,55.11,0,0,0,0
32,9339,Weston Way,814,886,All,40.28,36.87,36.67,37.07,0,0,0,29.06,30.66,35.07,36.27,38.28,38.68,51.5,56.51,61.32
33,9339,Weston Way,886,939,All,0,21.64,27.05,47.09,58.32,72.55,77.15,0,0,27.86,26.65,34.07,37.88,36.07,36.07,49.1
34,9339,Weston Way,965,1051,All,0,21.24,22.44,27.86,32.87,44.69,54.91,74.15,0,27.86,37.47,43.09,68.54,77.56,81.16,80.36
35,9339,Weston Way,1051,1219,All,0,39.48,45.09,45.89,59.12,73.35,0,0,0,0,27.86,33.67,33.87,33.27,41.28,43.49
36,9339,Weston Way,1237,1589,All,40.28,46.69,52.71,60.72,67.54,0,0,0,0,31.06,36.47,35.87,36.07,43.89,47.29,48.3
37,9339,Weston Way,1589,1999,All,40.28,46.89,52.91,60.92,67.74,0,0,0,0,31.06,36.87,36.07,36.47,44.29,47.49,48.7
38,9339,Weston Way,1999,2369,All,40.28,45.89,49.7,56.11,64.13,0,0,0,0,0,27.86,33.47,33.47,41.28,43.89,44.69
39,9339,Weston Way,2385,2696,All,44.69,53.91,57.92,61.12,65.73,77.15,78.16,80.16,81.16,79.96,81.76,82.77,0,0,0,0
40,9339,Weston Way,2696,3114,All,43.89,52.71,54.91,52.1,54.51,64.53,63.53,62.12,60.92,57.92,58.92,58.12,58.32,58.92,59.32,60.52
41,9339,Weston Way,3114,3398,All,40.28,46.29,48.5,45.49,50.1,64.33,66.33,68.14,69.94,71.74,72.55,74.35,76.35,79.36,80.16,82.16
42,9339,Weston Way,3398,3457,All,0,48.5,50.3,48.3,52.3,59.92,61.72,63.53,63.13,63.93,64.53,64.53,0,0,0,0
43,9339,Weston Way,3457,3675,All,39.08,22.44,24.45,45.29,44.49,52.1,49.9,51.7,50.3,50.3,51.3,52.3,53.51,54.31,54.91,56.31
44,9167,Foxglove Drive,0,668,All,41.88,20.84,17.64,17.23,21.64,30.26,43.29,44.49,43.29,44.89,44.29,43.69,42.28,39.88,40.88,40.48
45,16,Sarah Lane,0,515,All,47.29,54.51,59.32,61.32,65.33,75.35,73.55,74.55,75.35,73.35,74.15,75.15,76.15,77.96,78.96,80.76
46,17,Ash Drive,0,318,All,39.08,22.44,24.85,25.25,30.26,42.89,44.69,55.71,64.93,71.54,76.15,79.36,80.96,81.76,81.76,0
47,18,Monaghan Way,0,80,All,0,0,0,21.64,26.25,34.07,31.66,31.06,39.88,42.69,42.69,42.69,41.48,39.08,35.67,36.47
48,1035,Cousins Avenue East,0,61,All,0,26.25,29.86,31.66,37.47,49.9,51.3,53.71,53.31,53.31,55.31,57.52,59.92,60.72,62.53,64.13
49,19,Elm Close,0,82,All,48.3,45.49,26.45,27.45,32.26,43.09,46.09,46.89,48.3,48.9,52.51,54.11,58.72,62.12,63.53,66.53
50,19,Elm Close,82,101,All,0,18.44,20.44,26.05,34.07,44.29,46.69,47.49,49.9,51.7,53.71,58.32,60.52,63.53,65.13,66.73
51,20,Burkes Creek Road,0,21,All,0,43.29,53.91,53.71,57.31,68.14,70.34,69.34,71.54,0,0,0,0,0,18.44,22.65
52,20,Burkes Creek Road,21,520,All,0,43.49,54.51,54.11,57.52,68.54,70.94,70.14,71.74,72.14,73.35,74.95,76.75,78.76,79.56,81.16
53,20,Burkes Creek Road,549,697,All,47.9,52.3,56.71,58.52,63.93,72.95,73.15,74.95,76.55,74.55,74.95,76.15,78.36,80.16,82.77,84.17
54,20,Burkes Creek Road,697,765,All,40.28,22.85,24.65,28.06,32.46,43.29,46.29,47.09,49.1,52.1,55.71,60.92,65.13,68.94,70.54,71.74
55,20,Burkes Creek Road,765,1789,All,48.3,52.91,57.11,59.32,64.33,73.95,74.75,75.35,77.15,75.15,75.95,76.55,78.76,80.56,82.97,84.37
56,21,Tapeka Heights Lane,0,277,All,0,37.88,43.49,45.09,52.91,70.14,74.15,77.96,79.56,81.16,82.77,84.37,85.17,86.77,92.18,92.99
57,22,Sir John McKenzie Drive,0,530,All,45.89,23.25,52.1,50.9,55.11,64.13,64.73,65.73,65.53,66.13,67.94,69.34,70.54,71.54,72.75,74.55
58,23,Apple Orchard Lane,0,185,All,42.89,45.09,47.9,43.69,46.89,56.51,57.31,59.32,57.31,58.32,59.92,59.72,60.32,61.32,61.32,62.12
