elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs
1,1,Conifer Close,0,378,All,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs
2,2,Fladgate Drive,0,565,All,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs
3,4,Highfield Drive,0,71,All,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs
4,3,Matai Way,0,557,All,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs
5,5,Vintry Drive,0,362,All,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs
6,6,Croatia Avenue,0,42,All,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs
7,6,Croatia Avenue,42,76,All,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac
8,7,Lumbarda Drive,0,152,All,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac,U_L_ac
9,8,Tarras Road,0,86,All,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs,U_L_cs
